Klagenfurt_Graz						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Enterococcus	16684.317	-5.733	1.255	-4.567	0	0
Bifidobacterium	23933.934	16.712	1.034	16.164	0	0
Geobacillus	1118.115	13.542	1.225	11.055	0	0
Streptococcus	122.105	5.223	1.658	3.149	0.002	0.018
Lactobacillus	1363.786	2.051	0.711	2.885	0.004	0.034
Lactococcus	8.307	6.46	2.364	2.733	0.006	0.046
Veillonella	41.003	-7.072	2.663	-2.655	0.008	0.05
Staphylococcus	2350.875	-1.387	0.884	-1.568	0.117	0.642
Haemophilus	2.019	-4.39	2.93	-1.498	0.134	0.656
Enterobacter	1.209	-3.65	2.935	-1.244	0.214	0.916
unknown_Lactobacillales	1.109	-3.323	2.887	-1.151	0.25	0.916
Pseudomonas	0.805	3.103	2.609	1.19	0.234	0.916
Klebsiella	0	0	0	0	1	1
Clostridium sensu stricto 1	0	0	0	0	1	1
Escherichia-Shigella	2.564	2.567	2.917	0.88	0.379	1
unknown_Enterobacteriaceae	0.191	0.607	2.96	0.205	0.837	1
Ochrobactrum	0	0	0	0	1	1
Rothia	0.129	0.607	2.96	0.205	0.837	1
Corynebacterium 1	1.212	1.646	2.379	0.692	0.489	1
unknown_Bacteria	2.626	1.539	2.344	0.657	0.511	1
Finegoldia	0.419	0.995	2.95	0.337	0.736	1
Acinetobacter	0.439	-2.305	2.946	-0.782	0.434	1
Gemella	0	0	0	0	1	1
Elizabethkingia	0.485	2.371	2.86	0.829	0.407	1
Ureaplasma	0.105	-1.028	2.957	-0.348	0.728	1
unknown_Burkholderiaceae	0.453	-2.348	2.871	-0.818	0.413	1
Ralstonia	0.464	1.15	2.892	0.398	0.691	1
Craurococcus	0.117	1.097	2.958	0.371	0.711	1
Prevotella	0.344	1.964	2.952	0.665	0.506	1
Blautia	0.29	1.029	2.958	0.348	0.728	1
Micrococcus	0.196	-1.045	2.956	-0.354	0.724	1
Saccharopolyspora	0.195	0.811	2.959	0.274	0.784	1
Serratia	0.195	0.811	2.959	0.274	0.784	1
Stenotrophomonas	0.042	-0.518	2.96	-0.175	0.861	1
unknown_Diplorickettsiaceae	0.195	0.811	2.959	0.274	0.784	1
unknown_Mitochondria	0.153	0.811	2.959	0.274	0.784	1
Achromobacter	0.094	-0.567	2.959	-0.192	0.848	1
Pandoraea	0.115	0.607	2.96	0.205	0.837	1
Paracoccus	0.115	0.607	2.96	0.205	0.837	1
Vibrio	0.039	0.521	2.96	0.176	0.86	1
Empedobacter	0.03	-0.358	2.96	-0.121	0.904	1
unknown_Actinobacteria	0.097	0.403	2.961	0.136	0.892	1
unknown_Betaproteobacteriales	0.097	0.403	2.961	0.136	0.892	1
unknown_Pasteurellaceae	0.011	-0.147	2.961	-0.05	0.96	1
Eikenella	0	NA	NA	NA	NA	NA
Aeromonas	0	NA	NA	NA	NA	NA
Bacillus	0	NA	NA	NA	NA	NA
unknown_Sericytochromatia	0	NA	NA	NA	NA	NA
[Eubacterium] brachy group	0	NA	NA	NA	NA	NA
[Eubacterium] coprostanoligenes group	0	NA	NA	NA	NA	NA
[Eubacterium] eligens group	0	NA	NA	NA	NA	NA
[Eubacterium] hallii group	0	NA	NA	NA	NA	NA
[Eubacterium] ruminantium group	0	NA	NA	NA	NA	NA
[Eubacterium] xylanophilum group	0	NA	NA	NA	NA	NA
[Ruminococcus] gauvreauii group	0	NA	NA	NA	NA	NA
AAP99	0	NA	NA	NA	NA	NA
Abiotrophia	0	NA	NA	NA	NA	NA
Actinomyces	0	NA	NA	NA	NA	NA
Actinotignum	0	NA	NA	NA	NA	NA
Adhaeribacter	0	NA	NA	NA	NA	NA
Afipia	0	NA	NA	NA	NA	NA
Agathobacter	0	NA	NA	NA	NA	NA
Agromyces	0	NA	NA	NA	NA	NA
Akkermansia	0	NA	NA	NA	NA	NA
Alcaligenes	0	NA	NA	NA	NA	NA
Aliidiomarina	0	NA	NA	NA	NA	NA
Alistipes	0	NA	NA	NA	NA	NA
Aliterella CENA595	0	NA	NA	NA	NA	NA
Allisonella	0	NA	NA	NA	NA	NA
Alloprevotella	0	NA	NA	NA	NA	NA
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	NA	NA	NA	NA	NA
alphaI cluster	0	NA	NA	NA	NA	NA
Altererythrobacter	0	NA	NA	NA	NA	NA
Aminobacter	0	NA	NA	NA	NA	NA
Anaerococcus	0	NA	NA	NA	NA	NA
Anaerostipes	0	NA	NA	NA	NA	NA
Anoxybacillus	0	NA	NA	NA	NA	NA
Aquabacterium	0	NA	NA	NA	NA	NA
Aquipuribacter	0	NA	NA	NA	NA	NA
Atopobium	0	NA	NA	NA	NA	NA
Atopostipes	0	NA	NA	NA	NA	NA
Bacteriovorax	0	NA	NA	NA	NA	NA
Bacteroides	0	NA	NA	NA	NA	NA
Bergeyella	0	NA	NA	NA	NA	NA
Bilophila	0	NA	NA	NA	NA	NA
Blastococcus	0	NA	NA	NA	NA	NA
Bordetella	0	NA	NA	NA	NA	NA
Bosea	0	NA	NA	NA	NA	NA
Brachybacterium	0	NA	NA	NA	NA	NA
Bradyrhizobium	0	NA	NA	NA	NA	NA
Brevibacterium	0	NA	NA	NA	NA	NA
Brevundimonas	0	NA	NA	NA	NA	NA
Bryobacter	0	NA	NA	NA	NA	NA
Burkholderia-Caballeronia-Paraburkholderia	0	NA	NA	NA	NA	NA
Butyricicoccus	0	NA	NA	NA	NA	NA
Butyrivibrio	0	NA	NA	NA	NA	NA
CAG-56	0	NA	NA	NA	NA	NA
Candidatus Captivus	0	NA	NA	NA	NA	NA
Candidatus Nitrotoga	0	NA	NA	NA	NA	NA
Candidatus Paracaedibacter	0	NA	NA	NA	NA	NA
Candidatus Soleaferrea	0	NA	NA	NA	NA	NA
Capnocytophaga	0	NA	NA	NA	NA	NA
Caulobacter	0	NA	NA	NA	NA	NA
Cellulomonas	0	NA	NA	NA	NA	NA
Christensenellaceae R-7 group	0	NA	NA	NA	NA	NA
Chryseobacterium	0	NA	NA	NA	NA	NA
Cloacibacterium	0	NA	NA	NA	NA	NA
Collinsella	0	NA	NA	NA	NA	NA
Coprococcus 1	0	NA	NA	NA	NA	NA
Coprococcus 2	0	NA	NA	NA	NA	NA
Coprococcus 3	0	NA	NA	NA	NA	NA
Corynebacterium	0	NA	NA	NA	NA	NA
Crocinitomix	0	NA	NA	NA	NA	NA
Cupriavidus	0	NA	NA	NA	NA	NA
Curvibacter	0	NA	NA	NA	NA	NA
Cutibacterium	0	NA	NA	NA	NA	NA
Defluviitaleaceae UCG-011	0	NA	NA	NA	NA	NA
Deinococcus	0	NA	NA	NA	NA	NA
Delftia	0	NA	NA	NA	NA	NA
Desulfocapsa	0	NA	NA	NA	NA	NA
Dialister	0	NA	NA	NA	NA	NA
Dielma	0	NA	NA	NA	NA	NA
Dorea	0	NA	NA	NA	NA	NA
Dyella	0	NA	NA	NA	NA	NA
Dysgonomonas	0	NA	NA	NA	NA	NA
Effusibacillus	0	NA	NA	NA	NA	NA
Enhydrobacter	0	NA	NA	NA	NA	NA
Enterorhabdus	0	NA	NA	NA	NA	NA
Erysipelotrichaceae UCG-003	0	NA	NA	NA	NA	NA
Erythrobacter	0	NA	NA	NA	NA	NA
Exiguobacterium	0	NA	NA	NA	NA	NA
Ezakiella	0	NA	NA	NA	NA	NA
Facklamia	0	NA	NA	NA	NA	NA
Faecalibacterium	0	NA	NA	NA	NA	NA
Family XIII AD3011 group	0	NA	NA	NA	NA	NA
Ferruginibacter	0	NA	NA	NA	NA	NA
Firmicutes bacterium CAG:345	0	NA	NA	NA	NA	NA
Flavobacterium	0	NA	NA	NA	NA	NA
Fournierella	0	NA	NA	NA	NA	NA
Friedmanniella	0	NA	NA	NA	NA	NA
Fusicatenibacter	0	NA	NA	NA	NA	NA
Fusobacterium	0	NA	NA	NA	NA	NA
Gallionella	0	NA	NA	NA	NA	NA
Gardnerella	0	NA	NA	NA	NA	NA
Garicola	0	NA	NA	NA	NA	NA
GCA-900066225	0	NA	NA	NA	NA	NA
Gemmata	0	NA	NA	NA	NA	NA
Gemmatirosa	0	NA	NA	NA	NA	NA
Geodermatophilus	0	NA	NA	NA	NA	NA
Gordonia	0	NA	NA	NA	NA	NA
Granulicatella	0	NA	NA	NA	NA	NA
Halomonas	0	NA	NA	NA	NA	NA
Herbaspirillum	0	NA	NA	NA	NA	NA
Herbinix	0	NA	NA	NA	NA	NA
Herminiimonas	0	NA	NA	NA	NA	NA
Holdemanella	0	NA	NA	NA	NA	NA
Hydrogenoanaerobacterium	0	NA	NA	NA	NA	NA
Hymenobacter	0	NA	NA	NA	NA	NA
Intestinibacter	0	NA	NA	NA	NA	NA
Janthinobacterium	0	NA	NA	NA	NA	NA
Jatrophihabitans	0	NA	NA	NA	NA	NA
JGI 0001001-H03	0	NA	NA	NA	NA	NA
Jonquetella	0	NA	NA	NA	NA	NA
Kocuria	0	NA	NA	NA	NA	NA
Lachnoanaerobaculum	0	NA	NA	NA	NA	NA
Lachnoclostridium	0	NA	NA	NA	NA	NA
Lachnospira	0	NA	NA	NA	NA	NA
Lachnospiraceae FCS020 group	0	NA	NA	NA	NA	NA
Lachnospiraceae ND3007 group	0	NA	NA	NA	NA	NA
Lachnospiraceae NK4A136 group	0	NA	NA	NA	NA	NA
Lachnospiraceae UCG-001	0	NA	NA	NA	NA	NA
Lautropia	0	NA	NA	NA	NA	NA
Legionella	0	NA	NA	NA	NA	NA
Leptospira	0	NA	NA	NA	NA	NA
Leucobacter	0	NA	NA	NA	NA	NA
Luteibacter	0	NA	NA	NA	NA	NA
Lysinibacillus	0	NA	NA	NA	NA	NA
Macellibacteroides	0	NA	NA	NA	NA	NA
Marinomonas	0	NA	NA	NA	NA	NA
Marmoricola	0	NA	NA	NA	NA	NA
Massilia	0	NA	NA	NA	NA	NA
Mesorhizobium	0	NA	NA	NA	NA	NA
Methylobacterium	0	NA	NA	NA	NA	NA
Microbacterium	0	NA	NA	NA	NA	NA
Microlunatus	0	NA	NA	NA	NA	NA
Microvirga	0	NA	NA	NA	NA	NA
MND1	0	NA	NA	NA	NA	NA
Mobiluncus	0	NA	NA	NA	NA	NA
Modestobacter	0	NA	NA	NA	NA	NA
Moraxella	0	NA	NA	NA	NA	NA
Mycobacterium	0	NA	NA	NA	NA	NA
Mycoplasma	0	NA	NA	NA	NA	NA
Negativibacillus	0	NA	NA	NA	NA	NA
Neisseria	0	NA	NA	NA	NA	NA
Nitrospira	0	NA	NA	NA	NA	NA
Nocardioides	0	NA	NA	NA	NA	NA
Novosphingobium	0	NA	NA	NA	NA	NA
Odoribacter	0	NA	NA	NA	NA	NA
Olsenella	0	NA	NA	NA	NA	NA
Paenibacillus	0	NA	NA	NA	NA	NA
Pajaroellobacter	0	NA	NA	NA	NA	NA
Panacagrimonas	0	NA	NA	NA	NA	NA
Pantoea	0	NA	NA	NA	NA	NA
Parabacteroides	0	NA	NA	NA	NA	NA
Parasutterella	0	NA	NA	NA	NA	NA
Pedobacter	0	NA	NA	NA	NA	NA
Pedomicrobium	0	NA	NA	NA	NA	NA
Pelomonas	0	NA	NA	NA	NA	NA
Phaeodactylibacter	0	NA	NA	NA	NA	NA
Phascolarctobacterium	0	NA	NA	NA	NA	NA
Phenylobacterium	0	NA	NA	NA	NA	NA
Phyllobacterium	0	NA	NA	NA	NA	NA
Planktothrix NIVA-CYA 15	0	NA	NA	NA	NA	NA
Porphyromonas	0	NA	NA	NA	NA	NA
Prevotella 6	0	NA	NA	NA	NA	NA
Prevotella 9	0	NA	NA	NA	NA	NA
Prevotellaceae NK3B31 group	0	NA	NA	NA	NA	NA
Prevotellaceae UCG-004	0	NA	NA	NA	NA	NA
Pseudochrobactrum	0	NA	NA	NA	NA	NA
Pseudolabrys	0	NA	NA	NA	NA	NA
Pseudoxanthomonas	0	NA	NA	NA	NA	NA
Psychroglaciecola	0	NA	NA	NA	NA	NA
Quadrisphaera	0	NA	NA	NA	NA	NA
RB41	0	NA	NA	NA	NA	NA
Reyranella	0	NA	NA	NA	NA	NA
Rhodanobacter	0	NA	NA	NA	NA	NA
Rhodobacter	0	NA	NA	NA	NA	NA
Rhodococcus	0	NA	NA	NA	NA	NA
Romboutsia	0	NA	NA	NA	NA	NA
Roseburia	0	NA	NA	NA	NA	NA
Roseomonas	0	NA	NA	NA	NA	NA
Rubellimicrobium	0	NA	NA	NA	NA	NA
Rubrobacter	0	NA	NA	NA	NA	NA
Ruminiclostridium 5	0	NA	NA	NA	NA	NA
Ruminiclostridium 6	0	NA	NA	NA	NA	NA
Ruminiclostridium 9	0	NA	NA	NA	NA	NA
Ruminococcaceae NK4A214 group	0	NA	NA	NA	NA	NA
Ruminococcaceae UCG-002	0	NA	NA	NA	NA	NA
Ruminococcaceae UCG-003	0	NA	NA	NA	NA	NA
Ruminococcaceae UCG-004	0	NA	NA	NA	NA	NA
Ruminococcaceae UCG-005	0	NA	NA	NA	NA	NA
Ruminococcaceae UCG-010	0	NA	NA	NA	NA	NA
Ruminococcaceae UCG-013	0	NA	NA	NA	NA	NA
