Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Enterococcus faecium,535,1788,1035,1639,3792,327,15501,1532176,135947,1281768,1307413,1160801,503668,1841472,2107224,1196131,1684406,1192545,2388413,1900542,2055845,1846963,67736
Bifidobacterium longum,3428696,1949667,2624844,2918470,109767,2639316,1618387,948,155,918,733,1095,1477,1221,1311,1394,2571,864,1915,1106,1426,1672,29
Enterococcus faecalis,3425,2557,2686,3519,6904,3129,1457277,416694,38226,350218,338228,301274,131847,510909,546167,333660,455872,328813,642951,519772,533155,510399,15483
Staphylococcus epidermidis,221,15,173,166,449,81,122949,15516,1309,17880,15441,10439,6324,98018,49060,34902,32563,3052,25325,59427,155024,865426,1025
Escherichia coli,93,64,47,118,1043147,19,724,526,232,566,559,455,28757,638,1232,488,739,544,861,607,895,824,23
Veillonella parvula,0,0,4,2,0,0,4,10,669648,40,12,42,15,55,19,4,17,1,15,125,46,230,0
Bifidobacterium adolescentis,117595,65792,89601,95847,3808,91412,54268,318,275,183,255,270,220,341,422,176,579,224,271,94,310,322,3
Lactococcus lactis,2164,1461,1485,2263,155,2036,4300,27801,4528,23811,24256,22360,9637,33721,41047,22743,32305,21825,46205,35506,37920,30966,760
Staphylococcus haemolyticus,285,150,258,366,532,276,67070,21222,1125,42819,1299,7229,20958,9733,218576,3327,2555,721,1823,3005,3452,11987,105
Lactobacillus rhamnosus,3,5,3,2,20,2,993,32760,616,168414,12756,47497,46130,15075,15383,4207,5825,4628,8261,6948,7773,6067,140
Lactobacillus casei,1750,1081,1226,1275,60,1192,1084,17550,675,78221,7727,22477,21736,10039,10360,4418,5864,4008,7651,6761,7460,6789,125
Lactobacillus plantarum,239,129,128,162,33,6,570,14208,2071,12737,10887,11368,4860,16297,19513,10413,13995,10066,22229,18179,18205,16021,330
Rothia mucilaginosa,9,3,3,53,0,1,0,73,110,110,43,31,18,129,94,94,194421,565,183,119,182,320,0
Lactobacillus sakei,73,79,53,74,35,148,915,14397,1338,11557,10112,10333,4151,15777,18255,10286,14303,9982,21408,17366,17972,16897,383
Listeria monocytogenes,194,136,115,167,60,142,2358,11362,2035,10169,10759,9373,4331,15084,17482,9372,13258,9180,18989,15520,16459,15565,407
Staphylococcus aureus,279,131,163,96,260,244,15601,7502,912,10538,4727,5376,4493,11431,28428,5891,7339,3520,6657,7074,11400,40503,970
Bifidobacterium breve,36344,21430,26975,31056,1156,28521,17138,26,0,2,17,4,24,11,5,7,21,1,24,11,12,0,1
Staphylococcus hominis,6,0,0,1,140,1,25923,7282,187,14710,167,2425,7282,2847,94771,746,90,7,50,206,412,1605,35
Klebsiella pneumoniae,20,6,9,38,6521,3,473,549,652,401,411,606,138633,690,876,398,362,280,831,598,571,720,6
Lactobacillus paracasei,4,10,7,5,18,0,801,11594,616,44479,6392,14085,12435,7513,8221,3868,5911,4077,6873,6104,6540,5647,110
Corynebacterium aurimucosum,338,138,219,213,5,214,642,7,21,25,135,45,22,139,319,2811,58,34,2369,266,1300,119170,18
Lactobacillus brevis,27,32,9,44,22,71,286,7888,1182,7426,6060,6394,3217,10396,10932,6052,8677,6477,12665,10438,10406,8823,399
Streptococcus pneumoniae,2056,1149,1670,1845,113,1400,2030,5495,1273,4681,5086,4259,1842,7118,8391,5339,9180,6135,10781,10120,8176,14840,145
Clostridium beijerinckii,1362,1040,963,1706,78,1448,1519,6112,4666,5581,6055,5391,2388,9098,10098,4794,7711,4836,10905,8379,9740,8499,153
Pediococcus pentosaceus,374,422,503,378,53,526,757,6817,797,6279,5647,5245,2460,8992,8911,5229,7962,4604,11275,8908,9829,10282,494
Corynebacterium pseudogenitalium,114,6,0,1,6,44,427,3,26,0,39,1,3,24,249,2408,4,29,2107,261,1234,95704,14
Veillonella sp. 6_1_27,0,0,0,0,0,0,0,0,102481,0,0,0,0,0,0,0,0,0,0,0,0,36,0
Streptococcus gallolyticus,4,72,19,11,23,8,413,6482,812,5735,5961,4977,2426,7099,7978,5759,7807,5326,9207,7257,7564,7327,409
Geobacillus kaustophilus,32247,6705,16709,5545,77,7760,3876,1455,801,1154,1094,904,371,1166,1644,1028,1275,1059,1503,1632,1369,1891,38
Listeria welshimeri,209,91,218,245,35,252,1796,6743,686,4624,5133,5055,2126,7778,8232,4732,6366,4313,10544,7590,7827,6196,85
Corynebacterium tuberculostearicum,74,2,0,0,0,39,349,2,14,0,41,0,1,13,209,2130,3,31,1821,210,977,82166,11
Paenibacillus polymyxa,42,19,30,11,9,19,53,5719,381,3853,4768,5625,2152,7525,10124,3817,5400,3499,10049,9123,8433,7168,145
Clostridium difficile,2191,1875,1458,2552,166,2572,6656,4596,2881,4967,5167,3641,1896,4928,6287,4271,5369,4224,5819,5228,4742,5361,165
Streptococcus suis,681,399,511,521,39,537,1684,5308,1421,4195,4220,3447,1857,5430,6770,4957,6712,5518,9137,6962,7504,6415,492
Escherichia sp. 3_2_53FAA,3,0,1,0,81558,2,20,5,6,33,1,8,1457,1,117,1,0,0,0,2,0,2,0
Bacillus cereus,1636,735,905,833,43,738,1098,5257,1448,4456,4279,4111,1753,6465,7288,4069,5329,4073,7939,6152,6328,6893,138
Enterococcus gallinarum,1,8,48,80,21,6,1296,5195,529,4964,6627,4609,2329,7513,8199,4337,5758,2748,8791,6326,7630,4183,38
Streptococcus mutans,325,202,183,166,50,315,1171,5504,1069,4994,4674,4092,1654,6131,7386,5003,5804,4288,8182,7448,7725,4625,179
Bacillus subtilis,4294,1212,2626,1435,100,1502,2430,4051,1964,3041,2708,3318,1377,4318,6208,2872,4605,2938,6304,5303,5391,5483,104
Salmonella enterica,178,58,109,158,31895,121,683,1054,521,946,1104,634,24876,1543,1281,808,1372,927,1744,1063,1222,1185,55
Streptococcus agalactiae,471,323,310,393,31,358,1723,4489,916,4028,4065,3546,1666,5705,6819,3458,5876,3849,7266,5527,6361,5945,113
Veillonella sp. 3_1_44,0,0,0,0,0,0,0,0,72278,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Lactobacillus salivarius,178,220,240,91,42,243,702,4835,862,4284,3951,3559,1542,5411,6536,4093,5112,3850,7422,6302,7081,5233,141
Bacillus licheniformis,1159,701,656,760,37,1042,1255,4465,1795,3801,3178,3325,1285,5130,5666,3000,4752,3351,6405,5650,5661,6240,124
Staphylococcus lugdunensis,0,0,1,3,60,0,9168,3599,127,6973,678,1555,2959,1974,30755,639,2647,346,1065,893,1305,3986,26
Bifidobacterium bifidum,14438,7429,10148,10793,408,11175,6389,305,14,263,144,192,82,529,373,213,471,190,591,318,479,477,1
