ASV	kingdom	phylum	class	order	family	genus	species	ASV
ASV1	Bacteria							ASV1
ASV2	Bacteria							ASV2
ASV3	Bacteria							ASV3
ASV4	Bacteria							ASV4
ASV5	Bacteria							ASV5
ASV6	Bacteria							ASV6
ASV7	Bacteria							ASV7
ASV8	Bacteria							ASV8
ASV9	Bacteria							ASV9
ASV10	Bacteria							ASV10
ASV11	Bacteria							ASV11
ASV12	Bacteria							ASV12
ASV13	Bacteria							ASV13
ASV14	Bacteria							ASV14
ASV15	Bacteria							ASV15
ASV16	Bacteria							ASV16
ASV17	Bacteria							ASV17
ASV18	Bacteria							ASV18
ASV19	Bacteria							ASV19
ASV20	Bacteria							ASV20
ASV21	Bacteria							ASV21
ASV22	Bacteria							ASV22
ASV23	Bacteria							ASV23
ASV24	Bacteria							ASV24
ASV25	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales				ASV25
ASV26	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter		ASV26
ASV27	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter		ASV27
ASV28	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	JGI 0001001-H03		ASV28
ASV29	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41		ASV29
ASV30	Bacteria	Acidobacteria	Holophagae	Subgroup 7				ASV30
ASV31	Bacteria	Acidobacteria	Subgroup 17					ASV31
ASV32	Bacteria	Acidobacteria	Subgroup 6					ASV32
ASV33	Bacteria	Acidobacteria	Subgroup 6					ASV33
ASV34	Bacteria	Acidobacteria	Subgroup 6					ASV34
ASV35	Bacteria	Actinobacteria	Actinobacteria					ASV35
ASV36	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces		ASV36
ASV37	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces		ASV37
ASV38	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces		ASV38
ASV39	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum schaalii	ASV39
ASV40	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii	ASV40
ASV41	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV41
ASV42	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV42
ASV43	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV43
ASV44	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV44
ASV45	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV45
ASV46	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV46
ASV47	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV47
ASV48	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV48
ASV49	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV49
ASV50	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV50
ASV51	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV51
ASV52	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV52
ASV53	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV53
ASV54	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV54
ASV55	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV55
ASV56	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV56
ASV57	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		ASV57
