Header	K01-1	K01-7	K02-1	K02-3	K02-7	K03-1	K03-3	K03-7	K04-1	K04-7	K05-1	K05-7	K06-1	K06-7	K07-1	K07-3	K09-1	K09-3	K10-1	K10-3	K11-1	K11-3	K12-1	K12-3	K13-1	K13-3	K14-3	K14-7	K15-1	K16-1	K16-3	K17-1	K18-1	K18-3	L01-1	L01-3	L01-7	L02-1	L02-3	L03-1	L03-3	L03-7	L04-1	L04-7	L05-1	L05-3	L06-1	L06-3	L06-7	L07-1	L07-3	L08-1	L08-3	L09-1	L09-3	L10-1	L10-3	L11-1	L11-3	L12-1	L12-7	L13-1	L13-3	L13-7	L14-1	L14-7	L15-1	L15-3	L15-7	L16-3	L16-7	L17-1	L17-3	L17-7	L18-3	G01-1	G01-3	G02-3	G02-7	G04-3	G05-1	G06-1	G06-3	G07-1	G07-3	G08-1	G08-3	G08-7	G09-1	G09-3	G09-7	G10-1	G11-1	G11-3	G12-3	G13-1	G13-3	G14-1	G14-3	G15-1	G15-3	G17-1	G17-3	G20-3	G20-7	G18-1	G18-3	G18-7	G19-3
2FL	6.5517	2.9361	8.1162	3.8881	2.0302	2.6811	1.656	0.7533	3.0982	0.886	2.2768	1.6672	13.0428	1.164	21.1919	2.1331	2.7488	7.4924	10.0239	2.7774	2.1163	2.2765	1.3634	3.8097	0.6535	0.6222	2.3284	1.396	0.4626	2.8308	1.749	1.9331	15.7827	11.3339	3.4741	42.7477	39.959	7.9325	2.7549	3.6206	185.1809	0.9021	1.2343	2.7096	1.3469	121.2045	2.3102	0.5279	1.6644	7.0237	40.7214	8.1489	72.7611	2.3914	65.8145	6.4712	100.7994	4.4254	11.2196	2.7989	78.9748	3.5244	58.2032	119.4955	4.8223	45.3858	3.8614	45.9502	107.1814	26.5593	37.929	5.0221	7.0809	73.9734	6.9002	4.4851	2.2489	3.1631	1.0241	43.9205	2.7243	1.0143	94.2192	6.2108	59.611	3.0266	72.8021	53.4064	3.3525	15.1566	2.3961	9.2208	3.2618	35.6917	10.0913	8.1787	23.1589	7.0567	58.9852	5.7728	46.687	2.1774	39.9903	53.4828	99.8843	2.0292	27.4307	244.2555	35.2395
3SL	27.6226	19.8954	23.7737	12.0584	15.0602	28.5247	16.376	13.559	56.0355	14.8096	24.2122	22.7085	37.587	16.2682	48.5728	18.3249	24.6074	20.6352	26.8968	23.3067	27.9731	34.0656	15.3599	17.6038	24.7254	27.6757	13.1899	20.4509	26.7732	39.1661	18.9615	26.1249	36.9073	20.7375	31.4212	37.2276	8.2122	29.3372	26.3809	31.2694	33.2837	47.7255	26.9975	45.4768	46.553	80.8352	20.1032	42.2926	48.4771	29.2724	22.7192	24.2751	79.4091	25.4493	661.2636	25.9923	41.6723	21.904	39.4069	33.1616	27.073	29.8949	32.2884	22.1733	34.188	41.7199	40.6008	30.7317	36.7627	39.332	48.1877	29.7753	40.1777	31.181	26.4561	24.1415	25.113	20.265	34.7285	18.2639	25.5637	24.9875	38.3132	24.8611	38.6456	29.1319	24.2843	33.932	30.8877	29.3227	50.1196	25.3847	25.9244	19.8343	25.8001	28.5125	24.1023	39.2814	21.4124	24.3038	30.6478	39.7281	29.6381	16.4278	20.0712	33.4124	17.0433	53.6981	20.4467
6SL	16.9986	15.6444	57.5585	10.6528	27.5986	14.7971	7.9539	19.7297	12.922	21.512	16.8852	13.0039	14.2349	13.4172	30.4271	9.8693	20.4678	12.7852	21.6179	10.6702	14.382	9.6375	11.4047	10.6273	11.3478	11.3989	10.8795	15.0489	12.5741	14.6421	9.2832	20.1484	25.4475	12.8667	17.7383	7.6373	12.4791	14.3453	11.0233	22.8975	8.5869	10.2259	18.2747	23.4477	13.3882	12.0891	14.7314	10.6563	33.9292	19.8892	8.8044	28.5337	9.3439	20.752	10.0553	26.9577	16.1186	15.8381	9.8661	15.747	8.5917	14.92	12.4496	9.4473	21.9164	14.6771	10.6028	7.6456	10.4548	11.527	9.4349	24.5544	19.8698	13.1727	8.1444	20.8731	8.2907	8.5489	7.9324	8.1653	18.6191	7.9493	15.6753	31.1553	8.5739	22.8725	8.6554	8.1607	19.9709	10.279	9.9381	21.1738	25.666	12.5792	12.3353	17.0532	10.7686	12.6431	11.7614	14.1449	11.75	10.1845	15.4524	8.7531	8.9069	16.0667	9.0906	8.951	8.2207
LDNDFH	7.8892	19.8638	6.2593	5.8766	26.119	7.1831	5.0592	6.8864	9.3512	6.1154	6.2061	2.7379	18.9501	5.6231	24.4296	5.25	6.7662	6.8893	7.6452	14.9778	5.2458	7.2716	9.4744	3.0022	12.5264	9.3922	5.8504	31.5418	14.1206	8.0378	2.6938	7.9472	10.588	11.603	9.7889	66.2287	74.1036	7.1665	7.8735	8.2365	70.0362	111.221	7.4653	137.9905	19.8755	54.2037	6.7522	36.9442	102.6443	8.2096	26.1864	8.1742	72.9013	22.8188	64.8001	8.7526	103.355	14.5342	60.2954	8.2596	78.5416	6.686	71.6469	36.0324	7.0543	138.2729	7.1843	70.3023	56.6539	81.8529	78.6231	11.9687	6.5047	44.7629	12.9409	7.7373	77.3621	43.9492	98.4842	26.1802	7.2847	11.29	99.0536	8.1496	91.1164	8.2676	45.7423	62.5174	7.3509	61.7778	134.7192	6.8566	7.5379	27.029	5.657	7.7889	11.458	6.6903	32.8146	6.9499	46.4581	15.3995	44.1348	33.1103	22.8523	8.4397	37.9348	75.4307	29.6937
LNFP1	19.234	13.4979	13.268	7.5917	15.0583	13.4974	9.5099	14.4197	24.0094	14.3429	14.5534	13.2941	32.8642	12.9758	52.7908	11.331	14.3392	17.8186	22.0961	15.874	16.2985	15	14.6661	10.9606	14.4675	13.6326	7.5628	12.1045	16.9412	23.0673	10.3412	15.4815	39.7146	18.9351	19.6096	37.958	54.3371	20.7058	13.309	18.8459	43.3172	13.2956	12.164	14.2116	26.1921	62.9337	11.7952	11.5865	13.922	21.2543	20.503	24.656	46.9411	25.0398	34.4634	22.7214	56.0948	7.5703	16.8804	15.3563	41.0762	18.008	31.9016	54.0158	24.1414	49.9475	22.0064	22.6207	61.5314	23.3448	28.9528	24.4595	44.5641	62.0005	29.6044	17.8535	15.8379	10.9811	12.5369	20.2252	16.6836	11.7955	35.4569	25	28.4787	17.6637	29.804	22.4619	19.0639	17.6325	14.1659	21.5898	19.8998	23.9285	32.1788	18.9694	11.0259	20.3858	28.4266	12.403	44.696	18.7803	39.4117	26.3266	58.9699	20.4548	25.2491	85.2239	17.6256
LNFP3	6.4371	7.978	5.3127	2.2148	12.0263	8.5773	2.7618	6.4732	10.7504	5.0016	7.5554	2.5564	22.7474	5.216	15.3914	3.1054	7.3305	6.6555	10.0645	9.2345	4.6344	6.6458	8.885	2.329	12.5448	8.2792	3.1115	9.4976	15.6833	11.7741	3.1681	9.0664	9.4565	6.41	11.5801	26.9724	9.9713	8.1364	6.9179	10.3505	50.8498	31.887	8.5174	45.1544	26.3558	26.1515	6.4353	33.6296	37.1531	8.6712	9.9132	12.8239	26.0443	26.143	19.7611	11.9156	33.6137	9.6203	31.1489	9.1613	18.4759	6.5661	34.7221	16.758	11.587	26.7509	7.2657	25.5887	18.0673	22.419	18.4845	13.6967	2.8716	17.0143	9.4269	8.1633	16.7332	12.9833	26.8867	9.6882	8.6913	12.3364	30.2657	13.5706	32.2539	11.1179	14.8192	18.9114	7.4482	20.723	29.7093	7.4872	10.7903	14.9208	2.4658	9.0507	16.9038	6.9727	15.5879	5.3971	23.7444	18.6545	23.3431	26.1364	12.7889	13.8104	28.3244	31.2862	17.929
LNnT	6.0835	3.8817	4.3143	2.9426	3.3821	4.4897	5.9421	8.5594	9.0806	8.7938	23.8028	7.0267	8.7683	12.0256	8.1397	9.7865	4.3236	4.645	4.8947	5.2424	5.2508	11.5196	17.9678	6.7522	14.6958	8.1932	4.3652	3.9614	8.6375	7.6519	4.8313	6.585	6.7125	6.4639	7.682	5.206	4.2981	7.4764	11.3385	6.7386	3.5374	10.0101	5.22	5.843	8.7746	5.0906	3.9172	3.9645	5.6095	5.2808	6.7948	4.9657	4.1028	5.2377	6.9015	5.0861	4.3036	4.6683	2.9997	4.8067	7.1848	8.0641	4.0245	3.5414	10.0948	4.8254	13.206	3.1306	5.2197	4.1383	5.328	6.1731	26.342	6.0097	7.5496	5.1551	3.1647	7.5635	5.1735	2.0329	4.6622	86.279	3.6732	5.6485	3.3216	9.448	2.6151	14.0487	4.7826	2.9296	6.7715	4.881	6.1934	4.0041	19.6879	6.4425	2.4173	11.2218	2.4291	3.9905	2.8689	6.4393	6.2255	2.0313	3.5083	5.7246	2.8197	7.6635	3.3225
LNT	22.6477	34.914	18.7359	8.4024	40.4928	19.1572	10.9493	21.3889	26.1389	19.8633	18.2188	14.5064	31.1346	14.6871	36.6427	11.8897	20.3173	19.1352	28.6625	34.2242	15.318	18.6938	8.8194	9.6736	17.5096	18.953	9.9247	48.5024	20.1164	32.5153	11.622	19.6907	23.627	120.5534	27.2254	98.6748	59.733	24.5439	18.0166	26.7764	100.5545	180.9026	21.9487	172.2516	28.325	79.1291	16.9197	124.6088	266.1573	25.7187	48.3016	29.5937	107.0938	26.0714	122.7653	29.3602	144.9843	15.7838	160.5439	25.7516	80.792	21.8357	132.5971	58.6255	28.9943	150.6211	22.5832	134.1187	89.9053	189.1803	109.5656	27.2124	45.4554	60.5767	24.8113	21.9997	105.8639	56.731	153.0701	38.1991	23.2119	13.0447	113.6281	28.3594	123.2857	23.8721	69.1062	79.0198	24.7627	95.2916	180.7474	26.2863	28.8068	40.1101	28.9704	25.9672	95.2454	28.8566	60.0479	17.874	86.2456	21.4212	76.7641	66.2164	49.579	18.6335	62.9576	193.033	42.8722
3FL	0.961	2.5639	0.8937	0.8777	2.0087	0.6603	0.6622	1.5656	0.6222	1.7331	0.6033	2.3796	1.5245	1.9182	3.1039	0.3878	0.8569	2.3431	1.2241	2.0402	0.5429	0.7024	0.9334	0.5633	0.7129	0.6457	1.276	4.6838	0.5951	0.7787	0.8278	0.7677	3.7331	2.0201	0.6437	28.1442	26.1957	1.0333	1.3272	0.9672	80.4853	55.0443	0.6351	73.1635	0.5366	16.0717	0.2981	21.7393	51.2015	1.0306	5.5643	1.1596	19.6342	0.7353	22.159	1.1937	28.2898	1.27	33.0491	0.6831	15.2624	0.8501	47.4907	18.8811	0.4497	33.8449	0.6915	30.7635	10.8962	22.6684	17.4781	1.2708	1.0447	8.7058	3.2612	0.7582	49.825	28.7614	38.5769	6.7954	0.6669	0.6929	36.4341	1.2283	44.6228	0.7572	15.6	18.4353	1.3019	30.6803	58.6507	1.544	0.7941	8.9998	0.972	0.8767	7.7904	0.5516	11.1286	1.25	11.0565	0.569	12.3564	22.0676	7.5209	0.8224	23.241	27.5393	32.0982
LDFT	0.522	1.514	0.3911	0.9461	0.8852	0.2697	0.5526	1.177	0.4414	1.1425	0.448	1.3878	0.5454	1.2374	1.3274	0.3456	0.7128	1.2505	0.6689	1.1922	0.4901	0.7069	0.7124	0.5654	0.4877	0.4439	0.8502	2.3734	0.4161	0.5705	0.4999	0.7057	1.7676	1.2656	0.4034	6.7183	3.9148	0.4949	0.2589	0.4579	17.4564	1.7762	0.0955	2.4179	0.3812	8.6841	0.509	1.0331	1.8396	0.5949	2.2463	0.6457	6.2014	0.6048	4.4308	0.5864	7.4831	-0.4463	1.7269	0.6244	5.8973	0.4496	2.8823	7.1954	0.2945	6.406	0.3911	3.7946	4.1457	2.5015	2.6108	0.6435	0.6061	4.009	1.4373	0.5503	1.8502	1.0367	1.5746	1.9776	0.4395	0.224	6.3807	0.5191	4.8941	0.4416	3.2416	2.9002	0.8071	1.5873	2.48	0.8427	0.4868	3.4532	0.5861	0.5249	3.3126	0.2927	2.2921	0.2181	2.2663	0.347	2.878	3.6861	3.7046	0.3666	4.0806	5.0309	2.9782
