Header	K003	K036	L071	L073	L078	L080	L085	L091	L092	L094	L098	K043	L099	L106	L107	L109	L113	L123	L127	L128	K044	L130	L134	L137	K057	K059	K064	K066	K078	K080	K007	K092	K094	K099	K106	K107	K113	K114	K116	K008	K120	K121	K127	K128	K130	K134	K135	K141	G003	K010	K007.2	G013	G014	G015	G017	G036	G058	G078	K015	G080	G085	G087	G092	G094	G099	G101	G107	G109	G114	K022	G116	G120	G121	G128	G130	G134	G161	G162	K024	G177	G179	G184	G186	G190	G191	G193	G302	L001	K029	L003	L007	L008	L010	L015	L017	L021	L022	L028	L029	K031	L030	L043	L045	L049	L050	L052	L057	L059	L064	L066
Capric_acid	9.5779	6.1755	6.1775	7.3485	8.5498	5.5338	7.2207	8.7648	6.8258	5.8892	4.6027	7.0496	14.5559	4.7958	9.7972	4.919	4.795	12.2855	7.585	6.463	5.7858	9.3387	4.7023	4.0999	9.1204	14.3771	7.2141	10.1639	8.096	9.1491	18.1833	4.9807	10.7792	6.5707	20.5719	8.2894	11.9744	10.5937	9.9882	5.9805	8.9308	6.7846	14.4175	8.806	11.3672	16.1798	8.2065	14.1743	19.4989	7.4828	11.6726	6.8951	7.2905	6.7054	6.3391	7.8827	6.96	6.206	6.4948	19.9597	5.8272	7.0093	9.2393	5.3227	6.2903	7.8015	6.8019	19.4964	6.561	7.7283	5.2342	7.7559	6.2335	6.499	6.0835	6.8654	4.4965	5.7778	13.0922	5.8307	5.0514	5.8918	3.9589	6.5599	7.2087	6.6497	11.1833	9.5382	7.9074	4.9416	17.8719	9.9826	6.1621	6.8704	4.372	5.4904	8.3599	10.2591	6.0312	7.2901	5.9055	11.9647	6.8735	9.0184	7.2893	4.0649	7.2977	7.8275	4.4827	6.7225
Butyric_acid	6.1584	4.8796	5.5573	7.0212	7.3445	3.9743	5.8	10.4369	5.9027	4.4153	4.5851	5.2322	11.3811	5.9017	8.8867	4.1363	5.0447	5.4576	4.7007	5.3537	4.5314	9.574	5.7248	3.2202	5.3477	10.9147	5.8884	7.1238	6.2325	6.686	7.7526	4.3588	9.1133	5.1138	8.0627	6.3843	10.1029	8.1813	6.4117	4.8604	4.9107	5.2899	5.7083	6.5023	6.5049	6.2104	6.4588	12.1288	5.7186	5.4574	12.5418	7.2699	5.4094	5.2119	5.672	6.5213	5.9464	5.001	5.2995	3.1985	5.5078	3.9991	6.9056	5.4928	5.0735	5.9714	5.7328	3.5149	5.4625	5.9512	4.2286	10.2599	5.1214	5.5959	6.0091	8.1075	3.1915	5.09	8.8426	4.9939	4.6138	4.4359	3.2489	6.226	6.773	3.7448	9.0983	7.7496	5.9741	4.1996	13.0468	7.6392	5.0054	5.567	3.8378	4.487	7.3598	18.1852	4.6737	5.6807	3.7783	7.4465	4.2512	11.3611	5.8102	8.4871	6.246	8.5544	3.7223	4.1339
L-Leucine	21.2433	25.7556	15.2919	13.7731	21.0345	11.7394	16.3314	15.5183	19.1749	14.3222	21.0649	18.3058	17.418	18.6507	20.4269	10.3675	14.5305	12.6379	14.773	15.3313	22.984	24.7273	27.7065	21.7569	66.7602	21.6977	16.1176	14.9634	16.8443	19.6495	12.1028	11.8912	42.0397	19.9766	22.5162	28.7887	66.8784	21.5683	16.4616	34.1636	28.412	21.5706	24.1434	21.0542	20.1716	15.6108	18.8028	12.583	10.1688	26.9816	17.5974	29.76	16.8284	15.7575	11.0286	17.5712	14.3083	19.5035	25.0911	12.0071	29.3392	9.7986	19.7198	11.2359	20.0243	18.888	23.161	10.2619	15.2493	16.2223	13.6979	17.6662	16.9719	24.3205	10.8332	20.8959	8.8259	13.7075	18.6984	16.5073	10.2881	15.3081	12.8643	16.4729	21.8353	11.8208	16.8361	20.7936	17.422	13.7462	20.6736	21.1473	29.1127	19.4479	14.6203	19.0041	23.5234	15.2772	15.0105	27.9051	15.1534	15.8622	36.5842	16.9238	15.8797	16.0258	16.0911	12.1315	13.8131	10.3816
L-Valine	20.8268	15.2619	9.8122	13.7226	13.2729	29.4321	10.2519	12.8638	13.4052	13.1425	17.9918	11.0724	12.5521	14.3749	14.1127	34.9107	13.363	9.6716	11.2948	10.5761	14.8264	12.3247	22.0254	19.6856	56.4294	15.4091	10.0102	11.9944	10.7836	13.4431	11.4077	8.0586	25.5945	13.0373	16.2436	20.172	48.2803	11.3316	11.9517	22.8183	22.4766	14.2673	18.7543	10.9686	17.48	13.2963	11.6985	9.446	11.0472	15.8157	16.4201	21.1257	13.0127	10.3234	9.5906	10.7192	16.9904	11.8243	14.7202	9.0453	22.5228	24.0896	11.4252	28.4499	12.9245	15.3108	14.2261	11.2645	10.1174	10.6289	11.8597	15.2069	10.6936	17.0934	9.509	16.5016	27.2535	12.0116	12.2493	10.4845	8.6538	10.2096	11.3716	13.399	15.3813	8.2881	14.1062	14.0437	12.2301	10.8001	16.2167	13.0751	21.6593	12.1524	12.0539	15.2577	12.3795	11.8038	10.1374	20.7223	12.0332	9.7757	8.5965	13.7303	9.6828	12.6902	10.0666	9.0765	9.4458	8.9986
L-Isoleucine	7.3792	6.6084	3.4713	4.2174	4.9641	4.2315	3.4491	4.1332	5.2579	3.8607	7.6204	4.9759	5.0563	5.3726	5.2101	3.48	4.6326	3.6877	4.3197	3.8128	7.9817	4.4731	8.9209	7.1144	13.3242	8.0663	3.7566	4.8408	4.4067	6.0015	4.2526	2.8697	12.3317	5.5961	6.7784	6.0305	21.6056	3.9712	5.4301	8.4451	9.7136	6.9562	6.5079	5.1585	9.1192	5.7868	5.1154	4.0759	4.5039	6.1489	5.6625	12.0574	4.7582	3.7667	3.6468	3.8369	3.4046	4.8237	4.733	4.4728	10.0642	3.6175	5.3763	4.09	5.9228	6.9834	6.5495	3.8866	4.1238	4.0459	5.062	5.7528	4.5189	6.8599	3.206	6.7882	3.6205	4.8297	6.1564	4.3002	3.1416	4.2498	4.6214	4.6205	5.699	3.3366	6.2341	5.4758	4.8488	4.3597	6.7266	5.2139	9.7153	4.5468	5.0404	5.8593	5.3014	4.1028	3.8288	10.1564	5.5572	4.7081	4.9968	4.2269	3.4898	6.3566	3.7598	3.1658	3.4532	3.6924
Propionic_acid	12.9573	3.0519	2.8863	5.9054	4.6466	7.1555	3.0682	3.0313	3.7254	5.5931	7.3706	3.3724	2.6071	6.3267	1.5742	9.3583	6.8387	5.1936	3.1274	2.8006	4.0861	2.7342	2.934	5.2907	5.6216	6.1696	5.1402	13.3895	5.0701	6.8708	4.5642	2.2704	3.2813	1.9676	1.9078	2.8221	3.3475	3.2197	7.3509	2.1623	5.4249	2.3814	2.4069	6.8752	35.2723	4.3531	3.3463	2.8981	5.2059	3.2145	6.3902	3.6442	2.847	3.9335	6.5593	2.9708	4.9671	2.8133	2.3528	5.9482	2.4123	6.8753	4.4637	5.9958	2.3306	3.2763	3.2942	7.9272	3.9108	3.311	6.3778	4.9037	4.2825	2.9865	4.543	3.6479	8.6501	3.4601	6.0415	2.7816	5.1201	3.7498	4.5241	2.7584	3.0714	5.7728	7.3621	2.4867	4.8909	7.2223	3.375	2.826	4.9391	2.7308	7.0867	3.7048	2.955	3.6307	1.9466	4.7364	5.8846	4.9082	9.4233	5.3408	3.7057	10.2743	2.751	3.4082	3.4451	4.3459
Propylene_glycol	6.7323	3.3889	3.4647	6.1508	5.7398	6.1087	4.128	5.2952	3.4906	6.9293	5.4777	3.5038	4.3274	9.1693	2.5249	7.3021	8.1857	10.3027	3.9101	5.9517	5.5826	1.9099	62.3478	20.3377	7.9328	5.6766	4.2815	5.7061	13.9488	5.6854	9.3119	3.0767	4.0461	2.7278	11.3459	3.3188	2.8397	5.0282	4.5	3.4985	59.8313	4.1759	59.4032	6.6104	11.6697	7.7008	3.9915	4.0557	5.5349	3.3875	8.5816	5.1576	7.6469	4.5176	7.4346	4.5216	5.0733	4.9487	3.6618	5.7723	2.8038	5.3623	5.4287	7.4768	2.0601	4.6467	4.4687	6.1861	5.1328	3.3558	9.9495	17.0465	5.1483	3.3659	5.7107	4.1788	10.2115	5.2375	4.5021	4.0587	5.0472	8.3228	8.5312	7.0488	5.2724	8.7284	7.6467	2.9485	5.4032	4.7351	34.6578	4.3453	4.9356	3.5436	7.4284	10.1949	4.2227	7.1656	2.9155	4.4233	6.2629	5.4564	8.235	15.7804	4.1609	6.1055	3.6601	4.5379	3.6348	5.5002
Isopropyl_alcohol	10.8603	9.4396	9.377	41.1266	17.4092	45.979	14.0141	21.5446	12.1917	42.4045	16.5638	10.8988	11.5937	37.876	10.6765	41.919	24.1262	47.7765	28.862	16.2338	11.784	5.0851	20.4907	12.8353	4.8214	7.2195	14.4429	15.6212	13.1523	13.1373	20.1949	11.124	6.0177	10.6837	7.9786	8.1657	5.0112	9.8921	7.8734	9.2101	16.8736	12.4939	15.281	14.2229	13.9196	18.1768	12.8273	12.6208	13.8176	10.9472	32.2001	24.2316	43.782	12.7126	37.4145	13.4089	4.916	12.9615	10.1852	19.8691	12.5153	19.2504	13.1114	26.8267	8.5092	22.5285	14.1098	22.8014	15.0863	11.3466	40.8999	60.2778	14.5613	11.5619	18.1124	23.9152	21.9398	14.1892	7.1873	12.9359	40.0243	9.5574	21.656	46.7612	6.8805	34.1071	23.6955	11.2048	10.3285	36.6938	21.3074	13.2987	9.8283	16.0544	39.4501	59.9807	14.1235	93.1784	11.1107	10.6398	31.334	10.2174	47.7253	78.3947	14.4788	41.0363	13.9337	29.921	11.4989	26.4895
Valeric_acid	7.8068	4.9036	6.2103	8.4917	7.094	5.0042	6.2172	13.9115	5.5816	7.0004	5.5036	5.7664	18.0918	6.7162	12.3286	4.6056	6.9966	14.5626	11.3418	6.2338	5.4706	9.2107	6.6508	4.129	9.7964	10.1052	5.8655	5.0689	6.7746	6.612	11.9217	4.5276	4.0084	5.4198	42.0762	5.9442	13.3077	7.1596	6.0228	5.2416	17.6996	6.7447	37.7622	7.6175	7.9797	13.5712	6.9421	14.8062	17.5382	5.7131	15.2955	7.5796	7.1373	5.8509	5.1129	7.0439	6.7431	6.2115	5.8628	34.6445	5.1951	13.6069	6.4953	7.5681	5.3395	14.892	5.4735	32.9021	8.1375	5.1803	9.232	10.3114	6.9417	5.6384	6.9429	8.3196	6.0537	7.3663	6.1971	5.3542	4.7426	6.4534	6.7164	7.0761	4.5898	9.7672	22.3483	7.1869	6.548	4.3341	21.3787	5.9526	4.3695	5.5836	5.7823	5.5148	5.7209	16.8933	4.2663	6.4323	7.7524	7.4722	7.2441	11.9319	7.1682	4.8079	6.6058	9.44	6.8235	6.6452
L-Lactic_acid	14.1596	14.0481	10.2567	11.2376	14.6868	9.255	10.2702	25.5501	18.4551	11.3911	29.498	14.7992	60.3064	23.869	26.6735	6.0285	15.6678	14.3223	14.9817	10.6385	13.5857	216.2983	145.1323	12.3904	44.153	17.1066	9.2152	11.6155	10.9151	11.7215	12.2389	9.1307	27.6705	14.9967	98.9448	34.6787	18.3019	12.4839	15.4503	26.7715	194.2641	21.398	196.7453	36.5155	11.8436	14.1909	12.905	13.2788	14.1095	17.2043	22.0462	35.2414	29.9456	9.7923	8.8099	10.3207	54.5411	10.4166	16.0438	22.4329	22.086	28.7892	11.375	8.4944	12.1862	26.6737	13.4373	20.8836	11.0733	11.0722	10.4024	19.5702	10.6425	19.1303	9.3269	32.7828	6.9111	24.4328	8.1823	10.1058	9.2344	11.7071	16.9828	25.8906	24.4955	43.5467	23.9113	18.4332	14.3618	16.8565	39.2279	14.9967	27.4734	11.7091	11.6559	22.3608	12.715	16.7508	11.8767	29.9099	25.1935	54.6622	7.7737	18.5908	10.3672	10.9656	9.9896	11.6736	11.0196	8.5247
