Graz_Klagenfurt						
class	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Carbohydrates	180356.597	-0.595	0.13	-4.587	0	0
Clustering-based_subsystems	137079.437	-0.257	0.066	-3.921	0	0
Cell_Wall_and_Capsule	49107.084	-0.288	0.075	-3.862	0	0
Stress_Response	19351.649	-1.127	0.262	-4.299	0	0
Phosphorus_Metabolism	12001.409	0.443	0.115	3.839	0	0
Iron_acquisition_and_metabolism	8916.818	-1.226	0.237	-5.185	0	0
Sulfur_Metabolism	4868.735	0.705	0.181	3.893	0	0
Secondary_Metabolism	1106.705	2.635	0.531	4.965	0	0
Potassium_metabolism	3406.455	0.839	0.228	3.672	0	0.001
Amino_Acids_and_Derivatives	69731.111	0.438	0.136	3.211	0.001	0.004
Respiration	17885.958	-0.685	0.229	-2.999	0.003	0.007
Dormancy_and_Sporulation	4180.63	0.78	0.272	2.863	0.004	0.01
Regulation_and_Cell_signaling	11695.78	-0.67	0.311	-2.152	0.031	0.068
Metabolism_of_Aromatic_Compounds	3408.77	-0.366	0.179	-2.052	0.04	0.08
Motility_and_Chemotaxis	1304.528	-0.267	0.15	-1.783	0.075	0.139
RNA_Metabolism	48193.249	-0.115	0.094	-1.223	0.221	0.364
Cell_Division_and_Cell_Cycle	15244.855	-0.25	0.204	-1.228	0.22	0.364
Protein_Metabolism	86292.937	-0.143	0.149	-0.962	0.336	0.503
Cofactors_Vitamins_Prosthetic_Groups_Pigments	43405.735	0.222	0.234	0.951	0.342	0.503
Nitrogen_Metabolism	6501.223	0.243	0.374	0.65	0.516	0.713
Photosynthesis	0.53	1.373	2.213	0.62	0.535	0.713
Nucleosides_and_Nucleotides	44822.981	-0.062	0.138	-0.454	0.65	0.791
Membrane_Transport	40448.26	0.053	0.111	0.481	0.63	0.791
Virulence_Disease_and_Defense	19304.389	-0.043	0.122	-0.353	0.724	0.845
Phages_Prophages_Transposable_elements_Plasmids	24389.828	0.054	0.244	0.222	0.824	0.923
Miscellaneous	76187.49	0.013	0.112	0.117	0.907	0.941
Fatty_Acids_Lipids_and_Isoprenoids	20182.231	0.011	0.089	0.121	0.903	0.941
DNA_Metabolism	65987.546	0.001	0.145	0.005	0.996	0.996
						
Graz_Leoben						
class	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Membrane_Transport	29186.285	-0.216	0.063	-3.405	0.001	0.019
Cofactors_Vitamins_Prosthetic_Groups_Pigments	28883.12	-0.284	0.189	-1.503	0.133	0.703
Respiration	16618.692	-0.096	0.059	-1.625	0.104	0.703
Cell_Division_and_Cell_Cycle	13772.859	0.139	0.097	1.437	0.151	0.703
Iron_acquisition_and_metabolism	8676.983	-0.298	0.158	-1.89	0.059	0.703
Photosynthesis	2.836	3.353	2.289	1.465	0.143	0.703
Fatty_Acids_Lipids_and_Isoprenoids	16331.925	0.067	0.055	1.219	0.223	0.774
Regulation_and_Cell_signaling	11933.007	0.176	0.153	1.153	0.249	0.774
Nitrogen_Metabolism	4163.284	-0.359	0.284	-1.263	0.206	0.774
Carbohydrates	173031.922	0.05	0.13	0.383	0.702	0.978
Clustering-based_subsystems	118074.526	0.011	0.039	0.276	0.783	0.978
Protein_Metabolism	72454.262	0.034	0.059	0.574	0.566	0.978
DNA_Metabolism	52578.82	0.014	0.067	0.201	0.84	0.978
Amino_Acids_and_Derivatives	46557.063	-0.043	0.107	-0.397	0.691	0.978
Cell_Wall_and_Capsule	42148.109	-0.021	0.066	-0.31	0.757	0.978
RNA_Metabolism	39895.263	0.017	0.038	0.458	0.647	0.978
Phages_Prophages_Transposable_elements_Plasmids	19275.863	0.038	0.181	0.212	0.832	0.978
Stress_Response	20737.229	0.025	0.12	0.209	0.834	0.978
Virulence_Disease_and_Defense	15312.315	-0.032	0.097	-0.326	0.744	0.978
Phosphorus_Metabolism	7909.45	-0.072	0.098	-0.734	0.463	0.978
Sulfur_Metabolism	3131.974	0.147	0.192	0.765	0.444	0.978
Dormancy_and_Sporulation	2349.795	-0.141	0.194	-0.726	0.468	0.978
Potassium_metabolism	1999.397	0.034	0.159	0.214	0.83	0.978
Motility_and_Chemotaxis	1128.835	0.035	0.146	0.24	0.81	0.978
Secondary_Metabolism	145.513	-0.067	0.417	-0.16	0.873	0.978
Metabolism_of_Aromatic_Compounds	3023.679	0.016	0.156	0.101	0.92	0.991
Miscellaneous	60089.761	-0.001	0.042	-0.023	0.982	1
Nucleosides_and_Nucleotides	36248.997	0	0.057	-0.001	1	1
						
Leoben_Klagenfurt						
class	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Carbohydrates	175112.164	0.631	0.067	9.46	0	0
Clustering-based_subsystems	130755.221	0.255	0.056	4.561	0	0
Amino_Acids_and_Derivatives	65335.469	-0.501	0.098	-5.103	0	0
Cofactors_Vitamins_Prosthetic_Groups_Pigments	37518.494	-0.526	0.088	-5.969	0	0
Stress_Response	18617.034	1.134	0.229	4.95	0	0
Iron_acquisition_and_metabolism	7250.591	0.918	0.159	5.78	0	0
Metabolism_of_Aromatic_Compounds	3254.423	0.361	0.084	4.299	0	0
Potassium_metabolism	3283.805	-0.823	0.218	-3.781	0	0
Secondary_Metabolism	985.931	-3.495	0.355	-9.837	0	0
Phosphorus_Metabolism	11119.465	-0.533	0.148	-3.608	0	0.001
Sulfur_Metabolism	4830.297	-0.57	0.159	-3.576	0	0.001
Membrane_Transport	35588.712	-0.292	0.088	-3.311	0.001	0.002
Dormancy_and_Sporulation	3811.414	-0.94	0.285	-3.303	0.001	0.002
Cell_Wall_and_Capsule	46223.467	0.251	0.087	2.873	0.004	0.008
Regulation_and_Cell_signaling	12046.648	0.826	0.296	2.786	0.005	0.01
Respiration	16274.018	0.567	0.215	2.641	0.008	0.014
Nitrogen_Metabolism	5503.151	-0.641	0.277	-2.316	0.021	0.034
Cell_Division_and_Cell_Cycle	15363.539	0.384	0.195	1.968	0.049	0.076
RNA_Metabolism	46126.518	0.122	0.086	1.425	0.154	0.227
Motility_and_Chemotaxis	1244.087	0.288	0.209	1.375	0.169	0.237
Protein_Metabolism	83061.256	0.166	0.131	1.269	0.205	0.273
Photosynthesis	3.9	2.056	2.956	0.696	0.487	0.619
Fatty_Acids_Lipids_and_Isoprenoids	19662.031	0.046	0.085	0.535	0.592	0.721
Nucleosides_and_Nucleotides	42564.019	0.051	0.119	0.427	0.67	0.781
Miscellaneous	72306.216	-0.027	0.101	-0.267	0.789	0.884
Phages_Prophages_Transposable_elements_Plasmids	23557.758	-0.032	0.173	-0.186	0.853	0.918
DNA_Metabolism	62988.626	0.002	0.131	0.013	0.989	0.989
Virulence_Disease_and_Defense	18124.911	-0.004	0.132	-0.03	0.976	0.989
