Graz_Klagenfurt						
order	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Central_carbohydrate_metabolism	31134.708	-0.636	0.082	-7.783	0	0
Monosaccharides	28924.739	-1.449	0.35	-4.144	0	0
Capsular_and_extracellular_polysacchrides	19108.889	-1.031	0.188	-5.482	0	0
ABC_transporters	16796.015	0.631	0.163	3.883	0	0
Arginine_urea_cycle_polyamines	14301.679	0.29	0.075	3.87	0	0
ATP_synthases	9987.558	-0.905	0.207	-4.371	0	0
Fatty_acids	9267.197	0.799	0.137	5.813	0	0
Oxidative_stress	6868.847	-1.188	0.258	-4.596	0	0
One-carbon_Metabolism	6787.347	-1.518	0.114	-13.368	0	0
Osmotic_stress	5357.851	-2.611	0.646	-4.041	0	0
CO2_fixation	6415.644	-0.552	0.131	-4.217	0	0
Two_related_proteases	3943.507	-2.478	0.357	-6.947	0	0
Sugar_Phosphotransferase_Systems_PTS	4600.344	-0.736	0.164	-4.495	0	0
DNA_uptake_competence	3501.384	-3.027	0.644	-4.697	0	0
Phospholipids	3959.018	-1.056	0.14	-7.555	0	0
Protein_translocation_across_cytoplasmic_membrane	4038.966	-0.654	0.129	-5.074	0	0
Fatty_acid_metabolic_cluster	3063.891	-0.645	0.161	-4.014	0	0
Tetrapyrroles	3100.59	1.038	0.244	4.255	0	0
Cytochrome_biogenesis	3230.372	1.225	0.231	5.312	0	0
Branched-chain_amino_acids	3367.703	2.679	0.63	4.253	0	0
Polysaccharides	3443.705	3.07	0.332	9.262	0	0
Riboflavin_FMN_FAD	2817.918	1.233	0.303	4.067	0	0
Translation	2535.031	0.47	0.088	5.346	0	0
Detoxification	2389.813	1.304	0.208	6.279	0	0
Recombination_related_cluster	975.327	-3.492	0.783	-4.46	0	0
Chromosome_Replication	1177.82	1.863	0.457	4.076	0	0
Transposable_elements	898.69	1.296	0.234	5.526	0	0
Hypothetical_Related_to_Dihydroorate_Dehydrogenase	772.853	6.236	0.72	8.664	0	0
proteosome_related	608.902	11.807	0.963	12.265	0	0
Probably_organic_hydroperoxide_resistance_related_hypothetical_protein	585.461	3.122	0.657	4.749	0	0
recX_and_regulatory_cluster	338.09	-1.85	0.281	-6.572	0	0
Probably_Ybbk-related_hypothetical_membrane_proteins	423.709	5.357	0.793	6.754	0	0
Phosphate_metabolism	309.261	5.984	1.001	5.98	0	0
Shiga_toxin_cluster	215.32	-5.048	1.262	-3.999	0	0
Aromatic_amino_acids_and_derivatives	9997.852	0.882	0.243	3.627	0	0.001
Sugar_alcohols	8347.447	-0.649	0.179	-3.634	0	0.001
Heat_shock	2987.923	-0.935	0.244	-3.828	0	0.001
Plant_Hormones	897.584	3.041	0.849	3.581	0	0.001
Biotin	582.663	2.029	0.554	3.66	0	0.001
CRISPs	73.54	-3.396	0.912	-3.724	0	0.001
NULL	218874.185	-0.182	0.052	-3.475	0.001	0.002
Electron_donating_reactions	2792.914	-0.479	0.138	-3.471	0.001	0.002
Anaerobic_degradation_of_aromatic_compounds	674.987	-3.353	0.964	-3.479	0.001	0.002
Spore_DNA_protection	8.974	6.447	1.834	3.516	0	0.002
Histidine_Metabolism	2908.651	2.799	0.855	3.274	0.001	0.003
Siderophores	362.893	-2.272	0.687	-3.305	0.001	0.003
Protein_and_nucleoprotein_secretion_system_Type_IV	123.921	2.991	0.89	3.361	0.001	0.003
Related_to_Menaquinone-cytochrome_C_reductase_	190.407	-2.398	0.731	-3.28	0.001	0.003
Transcription	11743.613	-0.465	0.143	-3.25	0.001	0.004
tRNA_sulfuration	1533.637	0.984	0.307	3.201	0.001	0.004
Metabolism_of_central_aromatic_intermediates	1448.163	1.277	0.398	3.211	0.001	0.004
Toxins_and_superantigens	45.474	3.397	1.074	3.162	0.002	0.005
Pyridoxine	3617.163	0.764	0.252	3.026	0.002	0.007
Probably_GTP_or_GMP_signaling_related	1687.365	-0.419	0.14	-3.004	0.003	0.008
DNA_polymerase_III_epsilon_cluster	388.737	-2.679	0.893	-3	0.003	0.008
Inorganic_sulfur_assimilation	204.346	1.287	0.441	2.921	0.003	0.01
Clustering-based_subsystems	3988.03	-0.645	0.227	-2.842	0.004	0.012
Organic_sulfur_assimilation	1175.878	0.757	0.268	2.827	0.005	0.012
Protein_folding	7889.157	0.385	0.138	2.793	0.005	0.014
D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.1.-.-)_cluster	373.019	1.192	0.437	2.728	0.006	0.016
Cell_Division	4879.702	-0.642	0.238	-2.695	0.007	0.018
Bacterial_cytostatics_differentiation_factors_and_antibiotics	45.705	-3.198	1.272	-2.513	0.012	0.03
Alanine_serine_and_glycine	8256.562	0.224	0.091	2.459	0.014	0.033
Acid_stress	851.88	-3.127	1.265	-2.471	0.013	0.033
Quinone_cofactors	2498.646	-1.224	0.515	-2.377	0.017	0.04
Isoprenoid/cell_wall_biosynthesis:_PREDICTED_UNDECAPRENYL_DIPHOSPHATE_PHOSPHATASE	1301.375	-0.479	0.201	-2.384	0.017	0.04
Isoprenoids	6797.844	-0.48	0.208	-2.307	0.021	0.047
Ribosomal_Protein_L28P_relates_to_a_set_of_uncharacterized_proteins	5237.734	-0.505	0.218	-2.318	0.02	0.047
Choline_bitartrate_degradation_putative	454.293	2.068	0.896	2.308	0.021	0.047
Flagellar_motility_in_Prokaryota	810.807	0.72	0.316	2.278	0.023	0.049
Tricarboxylate_transporter	8.399	5.631	2.464	2.285	0.022	0.049
Selenoproteins	2147.187	0.213	0.095	2.247	0.025	0.052
Biosynthesis_of_galactoglycans_and_related_lipopolysacharides	829.23	-0.536	0.239	-2.24	0.025	0.053
Di-_and_oligosaccharides	61457.332	-0.666	0.302	-2.205	0.027	0.057
Invasion_and_intracellular_resistance	169.735	-1.895	0.885	-2.141	0.032	0.066
Three_hypotheticals_linked_to_lipoprotein_biosynthesis	1319.89	0.557	0.275	2.025	0.043	0.085
