Header	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__Alanine_racemase_(EC_5.1.1.1)	2495	1415	1824	2146	113	1812	1999	743	342	721	469	592	283	928	990	508	765	598	1170	926	924	1186	11
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__Alanine_racemase_catabolic_(EC_5.1.1.1)	1	0	0	0	224	0	1	0	52	0	0	0	29	0	1	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__Branched-chain_amino_acid_aminotransferase_(EC_2.6.1.42)	1424	843	1022	1424	341	1141	1068	454	490	549	264	404	221	773	836	409	679	413	925	799	906	1218	4
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__Cysteine_desulfurase_(EC_2.8.1.7)	3543	2046	2595	3126	581	2595	3259	2275	812	1920	1839	1641	789	2542	3298	1628	2432	1710	3325	2793	2649	3798	70
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__Cysteine_desulfurase_(EC_2.8.1.7)_SufS_subfamily	0	0	1	0	2	0	298	18	21	17	5	11	8	20	48	9	66	43	169	46	67	13	10
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__HTH-type_transcriptional_regulator_IlvY	0	0	0	0	582	0	1	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Alanine_biosynthesis;g__Iron_binding_protein_IscA_for_iron-sulfur_cluster_assembly	0	0	0	0	50	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__2-amino-3-ketobutyrate_coenzyme_A_ligase_(EC_2.3.1.29)	1	0	1	2	357	1	44	1071	150	885	564	601	356	1067	1617	661	938	811	1523	1138	1188	1164	28
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__Aminomethyltransferase_(glycine_cleavage_system_T_protein)_(EC_2.1.2.10)	25	4	18	15	363	9	31	8	0	21	6	5	77	16	78	12	91	2	9	7	36	338	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__D-serine_permease_DsdX	0	0	0	0	291	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__D-serine/D-alanine/glycine_transporter	5	12	2	22	307	1	214	1414	1211	1040	1213	1160	641	1807	2408	970	1441	999	2298	1838	1953	1856	27
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P_protein)_(EC_1.4.4.2)	3	0	0	23	180	4	0	0	0	0	0	0	20	0	0	1	168	1	3	1	2	31	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__L-serine_dehydratase_(EC_4.3.1.17)	2653	1634	2130	2439	420	1966	1301	0	8	0	0	2	113	0	1	11	92	2	5	0	1	154	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__L-serine_dehydratase_1_(EC_4.3.1.17)	0	1	0	0	368	0	0	0	0	0	0	0	39	0	0	1	0	0	1	1	1	32	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__L-serine_dehydratase_alpha_subunit_(EC_4.3.1.17)	31	7	23	4	4	5	1045	609	359	845	694	372	229	958	649	719	881	567	925	728	1029	1926	36
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__L-serine_dehydratase_beta_subunit_(EC_4.3.1.17)	27	6	14	6	4	9	671	179	337	652	523	32	52	599	282	81	54	19	477	55	503	410	12
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__Phosphoserine_aminotransferase_(EC_2.6.1.52)	1921	736	1392	1019	227	1422	613	0	0	2	0	0	24	0	0	1	1	0	2	0	0	92	1
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__Phosphoserine_phosphatase_(EC_3.1.3.3)	1482	890	1222	1291	259	1126	705	0	1	1	0	0	49	0	2	4	2	0	7	0	3	252	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_and_Serine_Utilization;g__Serine_transporter	0	2	0	2	817	0	0	2	1	0	0	0	89	0	0	4	0	0	3	2	1	156	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_Biosynthesis;g__Low-specificity_L-threonine_aldolase_(EC_4.1.2.5)	1928	1086	1445	1631	246	1428	965	6	1	12	5	0	38	14	17	8	7	1	3	6	15	216	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_Biosynthesis;g__L-threonine_3-dehydrogenase_(EC_1.1.1.103)	2	2	0	3	243	0	76	723	80	693	443	566	250	915	1039	509	794	540	1213	954	917	1296	9
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_cleavage_system;g__Glycine_cleavage_system_transcriptional_activator_GcvA	0	1	0	1	123	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	2	0	1
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_cleavage_system;g__Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P2_protein)_(EC_1.4.4.2)	55	9	38	10	0	9	47	6	0	21	8	4	12	16	136	4	6	0	4	9	47	338	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Glycine_cleavage_system;g__Sodium/glycine_symporter_GlyP	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	1	5	1	1	0	0	26	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Serine_Biosynthesis;g__Phosphoserine_aminotransferase_putative_(EC_2.6.1.52)	0	0	0	0	0	0	31	3	0	14	3	1	4	12	53	9	3	0	5	3	47	278	0
c__Amino_Acids_and_Derivatives;o__Alanine_serine_and_glycine;f__Serine_Biosynthesis;g__Phosphoserine_phosphatase_putative_(EC_3.1.3.3)	0	0	0	0	0	0	24	3	0	15	1	2	2	7	55	7	5	0	0	3	26	205	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Anaerobic_Oxidative_Degradation_of_L-Ornithine;g__2-amino-4-ketopentanoate_thiolase_beta_subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Anaerobic_Oxidative_Degradation_of_L-Ornithine;g__D-Ornithine_45-aminomutase_E_subunit_(EC_5.4.3.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Anaerobic_Oxidative_Degradation_of_L-Ornithine;g__Probable_reactivating_factor_for_D-ornithine_aminomutase	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Agmatinase_(EC_3.5.3.11)	50	2	15	14	237	7	3	0	0	0	0	0	51	0	0	0	0	0	0	0	0	1	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Agmatine_deiminase_(EC_3.5.3.12)	0	0	2	0	3	0	721	0	0	0	0	0	1	4	0	0	0	0	1	0	2	9	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginase_(EC_3.5.3.1)	42	12	21	12	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_ABC_transporter_ATP-binding_protein_ArtP	0	0	0	0	157	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_ABC_transporter_periplasmic_arginine-binding_protein_ArtI	0	0	0	0	196	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_ABC_transporter_periplasmic_arginine-binding_protein_ArtJ	0	0	0	0	104	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_ABC_transporter_permease_protein_ArtM	0	0	0	0	194	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_ABC_transporter_permease_protein_ArtQ	0	0	0	0	118	0	0	0	0	0	0	0	30	0	1	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_decarboxylase_catabolic_(EC_4.1.1.19)	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_N-succinyltransferase_(EC_2.3.1.109)	0	1	0	0	164	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	1	0
c__Amino_Acids_and_Derivatives;o__Arginine;_urea_cycle_polyamines;f__Arginine_and_Ornithine_Degradation;g__Arginine_N-succinyltransferase_alpha_subunit_(EC_2.3.1.109)	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0
