	type	Mono	Di	Poly
5	G03-7	3277	84346	790
16	G05-7	263	6886	82
15	G11-7	3073	70835	878
2	G12-7	2637	73635	669
21	G13-7	2536	67636	610
10	G14-7	1212	34076	640
17	G15-7	3671	102861	789
14	G17-7	4154	121290	1037
12	K08-7	436	85854	12167
23	K11-7	246	47606	7256
22	K13-7	289	65360	9297
7	K15-7	18	69918	10832
8	K16-7	18	18413	2880
3	K17-7	320	62475	9027
9	K18-7	1415	72142	5871
11	L02-7	2509	66126	664
1	L05-7	3631	91994	750
18	L07-7	2850	63606	524
20	L08-7	4975	132484	1139
19	L09-7	4076	105922	937
6	L10-7	3994	110693	821
4	L11-7	4327	100904	826
13	L18-7	109	2182	28
