Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NULL,337057,184175,254547,283208,180164,246808,314969,235646,122931,218340,184996,168747,102014,284466,333968,188877,266686,179526,362868,294472,321607,414345,6084
Plant-Prokaryote_DOE_project,129660,73363,98813,109632,36009,96964,109002,73108,32254,66107,56563,52014,29025,87675,104862,59041,82527,56948,111493,91630,98122,127877,1691
Di-_and_oligosaccharides,85854,47606,65360,69918,18413,62475,72142,84346,6886,70835,73635,67636,34076,102861,121290,66126,91994,63606,132484,105922,110693,100904,2182
Protein_biosynthesis,92139,50667,72146,76543,18836,68230,85862,66880,33109,60320,50613,48868,25483,78485,93802,52873,75088,51358,102034,83736,86178,114098,2140
DNA_repair,83125,46668,62568,71296,19722,63468,65628,43271,20634,37021,32038,30237,15633,51872,59928,33966,48436,32258,67914,55653,59347,69149,1000
RNA_processing_and_modification,63328,35933,47495,53386,22224,46909,55965,35014,18988,30467,25651,25713,14610,41855,48543,26160,38549,25786,55092,44601,48449,61859,974
Central_carbohydrate_metabolism,38837,20506,29782,32298,22885,27982,39907,40270,14831,39926,31415,27235,15306,47130,56964,33004,46231,31711,62255,51941,54682,77452,1506
Monosaccharides,15517,9799,12178,13881,31580,12196,30893,44415,4387,39151,37628,35552,23731,55462,65794,33803,47586,32768,70420,57989,60401,61404,1746
Lysine_threonine_methionine_and_cysteine,46284,25985,36008,39981,14810,33734,39503,22456,18151,23115,19931,15570,11008,25786,32137,19096,26271,18483,31957,26016,28813,44093,1136
Purines,40877,23475,32165,36558,10854,29963,35496,25492,15131,23144,19703,17433,9263,28534,33606,20793,29678,19878,37447,30301,31546,40850,865
Capsular_and_extracellular_polysacchrides,17330,10012,13168,14336,15290,13258,23694,27173,5591,23403,23659,20905,11130,35580,39865,24755,33797,22365,44521,34797,37844,40759,462
Phages_Prophages,27582,16137,21257,24496,36618,20996,35272,21637,3125,29824,18450,17510,10506,24459,33432,16586,23931,16702,31234,24574,29498,46600,767
DNA_replication,30328,16029,23308,24268,6555,21795,24644,17251,5958,14294,11101,11925,5919,20781,24954,12749,17954,12239,26988,21829,22280,28715,236
