Graz_Klagenfurt						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Neosartorya	42.249	-4.164	0.784	-5.308	0	0
Penicillium	34.686	-4.586	0.861	-5.328	0	0
Aspergillus	38.507	-4.602	0.896	-5.135	0	0
Coprinopsis	21.535	-6.143	0.969	-6.336	0	0
Neurospora	122.209	4.939	0.921	5.361	0	0
Ustilago	1.988	4.61	1.399	3.296	0.001	0.004
Malassezia	94.242	3.227	1.165	2.771	0.006	0.021
Debaryomyces	1.717	-2.974	1.216	-2.446	0.014	0.043
Yarrowia	1.151	4.89	2.01	2.432	0.015	0.043
Lodderomyces	3.108	-3.789	1.654	-2.29	0.022	0.056
Gibberella	6.3	3.32	1.469	2.26	0.024	0.056
Pyrenophora	0.879	4.598	2.475	1.858	0.063	0.137
Saccharomyces	47.625	-0.825	0.565	-1.46	0.144	0.289
Clavispora	13.123	1.445	1.024	1.412	0.158	0.293
Emericella	1.899	-2.492	1.927	-1.293	0.196	0.34
Podospora	0.347	2.458	2.448	1.004	0.315	0.512
Magnaporthe	2.784	-1.669	1.969	-0.848	0.397	0.606
Schizosaccharomyces	0.186	2.384	3.074	0.776	0.438	0.633
Vanderwaltozyma	0.328	1.989	3.072	0.648	0.517	0.672
Kluyveromyces	0.216	1.989	3.072	0.648	0.517	0.672
unknown_Saccharomycetales	0.684	-0.9	1.864	-0.483	0.629	0.765
Filobasidiella	0.978	1.112	2.427	0.458	0.647	0.765
Schizophyllum	1.299	-0.379	2.46	-0.154	0.877	0.986
Lachancea	0.527	-0.341	3.03	-0.113	0.91	0.986
Phaeosphaeria	0.77	-0.054	1.655	-0.033	0.974	0.992
Moniliophthora	0.458	-0.031	3.023	-0.01	0.992	0.992
						
Graz_Leoben						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lodderomyces	7.317	-4.928	1.336	-3.687	0	0.006
Clavispora	6.653	-3.126	1.369	-2.284	0.022	0.291
unknown_Saccharomycetales	4.924	2.238	1.084	2.066	0.039	0.337
Emericella	5.537	-2.761	1.581	-1.746	0.081	0.42
Ustilago	1.467	2.52	1.399	1.801	0.072	0.42
Gibberella	1.782	-1.916	1.636	-1.171	0.242	0.785
Debaryomyces	6.589	-1.013	0.83	-1.22	0.222	0.785
Podospora	1.57	3.042	2.495	1.219	0.223	0.785
Malassezia	49.26	1.109	1.226	0.904	0.366	0.792
Lachancea	1.598	1.301	1.534	0.849	0.396	0.792
Filobasidiella	1.16	-2.866	2.999	-0.956	0.339	0.792
Kluyveromyces	0.746	1.836	2.033	0.903	0.366	0.792
Moniliophthora	0.905	-2.967	3.004	-0.987	0.323	0.792
Neurospora	25.76	0.631	0.856	0.738	0.461	0.856
Magnaporthe	3.518	-0.96	1.465	-0.655	0.512	0.872
Schizosaccharomyces	0.39	1.49	2.409	0.618	0.536	0.872
Neosartorya	176.88	0.061	0.566	0.107	0.914	0.995
Saccharomyces	135.954	-0.008	0.486	-0.017	0.987	0.995
Penicillium	136.464	-0.043	0.446	-0.097	0.923	0.995
Aspergillus	136.878	0.002	0.368	0.006	0.995	0.995
Coprinopsis	94.882	0.135	0.55	0.245	0.807	0.995
Schizophyllum	10.152	0.076	1.796	0.042	0.966	0.995
Phaeosphaeria	1.78	0.295	1.567	0.188	0.851	0.995
Vanderwaltozyma	0.304	-0.633	3.04	-0.208	0.835	0.995
Yarrowia	0.162	0.939	3.055	0.307	0.759	0.995
Pyrenophora	0.1	0.487	3.06	0.159	0.873	0.995
						
Leoben_Klagenfurt						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Neosartorya	72.98	5.386	0.905	5.949	0	0
Penicillium	52.571	5.539	1.012	5.472	0	0
Aspergillus	56.409	5.563	0.969	5.739	0	0
Coprinopsis	37.091	7.246	1.226	5.911	0	0
Neurospora	103.746	-3.091	0.831	-3.721	0	0.001
Saccharomyces	64.002	1.819	0.686	2.65	0.008	0.035
Clavispora	20.932	-3.355	1.355	-2.476	0.013	0.04
Gibberella	3.295	-3.185	1.272	-2.503	0.012	0.04
unknown_Saccharomycetales	2.974	3.67	1.491	2.462	0.014	0.04
Malassezia	88.768	-2.044	0.996	-2.052	0.04	0.095
Debaryomyces	1.866	3.382	1.631	2.074	0.038	0.095
Pyrenophora	0.796	-3.033	2.064	-1.469	0.142	0.307
Schizophyllum	3.566	2.716	1.924	1.412	0.158	0.316
Filobasidiella	0.685	-2.605	1.916	-1.36	0.174	0.323
Phaeosphaeria	1.123	1.344	1.894	0.709	0.478	0.654
Ustilago	2.631	-1.023	1.364	-0.75	0.453	0.654
Yarrowia	1.547	-1.194	1.623	-0.736	0.462	0.654
Lachancea	0.604	1.744	1.989	0.877	0.381	0.654
Podospora	1.52	1.809	2.27	0.797	0.426	0.654
Magnaporthe	1.463	0.855	1.461	0.585	0.558	0.682
Vanderwaltozyma	0.231	-1.713	3.072	-0.558	0.577	0.682
Moniliophthora	0.213	-1.713	3.072	-0.558	0.577	0.682
Emericella	0.667	0.997	2.013	0.495	0.62	0.701
Lodderomyces	0.151	-0.898	3.071	-0.293	0.77	0.834
Kluyveromyces	0.471	0.382	2.322	0.164	0.869	0.904
Schizosaccharomyces	0.354	-0.148	2.388	-0.062	0.951	0.951
