Leoben_Klagenfurt						
species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Enterococcus faecium	547245.463	7.883	0.7	11.254	0	0
Bifidobacterium longum	1105507.504	-11.451	0.476	-24.072	0	0
Enterococcus faecalis	158876.724	3.317	0.849	3.906	0	0
Staphylococcus epidermidis	35751.08	5.026	1.15	4.372	0	0
Bifidobacterium adolescentis	37634.213	-9.09	0.522	-17.428	0	0
Lactococcus lactis	10837.822	3.174	0.436	7.282	0	0
Lactobacillus rhamnosus	1966.219	4.747	1.101	4.311	0	0
Lactobacillus plantarum	4794.076	5.565	0.605	9.193	0	0
Lactobacillus sakei	4763.941	5.483	0.599	9.147	0	0
Listeria monocytogenes	4475.395	4.211	0.648	6.494	0	0
Bifidobacterium breve	11760.84	-11.869	0.716	-16.585	0	0
Lactobacillus paracasei	1724.037	4.827	1.077	4.482	0	0
Lactobacillus brevis	2902.203	6.208	0.557	11.145	0	0
Streptococcus pneumoniae	3343.607	1.648	0.424	3.885	0	0
Clostridium beijerinckii	2905.485	1.837	0.442	4.16	0	0
Pediococcus pentosaceus	2852.908	3.368	0.362	9.316	0	0
Streptococcus gallolyticus	2350.245	5.724	0.766	7.475	0	0
Geobacillus kaustophilus	5757.642	-3.867	0.677	-5.716	0	0
Listeria welshimeri	2215.961	3.282	0.627	5.232	0	0
Paenibacillus polymyxa	2048.831	6.989	0.461	15.161	0	0
Streptococcus suis	2557.384	2.722	0.438	6.22	0	0
Bacillus cereus	2181.21	1.846	0.466	3.958	0	0
Enterococcus gallinarum	1777.048	4.072	1.011	4.029	0	0
Streptococcus mutans	2097.111	3.346	0.493	6.785	0	0
Streptococcus agalactiae	1871.129	2.564	0.512	5.004	0	0
Lactobacillus salivarius	1843.638	3.578	0.478	7.485	0	0
Bifidobacterium bifidum	4502.389	-5.51	0.577	-9.553	0	0
Listeria innocua	1588.177	3.445	0.834	4.13	0	0
Streptococcus pyogenes	1499.462	3.152	0.728	4.329	0	0
Bacillus amyloliquefaciens	1457.891	3.606	0.428	8.431	0	0
Geobacillus sp. Y412MC52	3686.675	-3.655	0.702	-5.21	0	0
Leuconostoc mesenteroides	1439.271	4.396	0.412	10.682	0	0
Streptococcus gordonii	1353.217	4.643	0.593	7.832	0	0
Lactobacillus reuteri	1324.417	1.844	0.437	4.221	0	0
Streptococcus uberis	1063.979	5.395	0.961	5.612	0	0
Streptococcus sanguinis	978.564	3.767	0.627	6.003	0	0
Bacillus thuringiensis	1093.447	1.513	0.381	3.973	0	0
Listeria seeligeri	991.729	7.67	0.812	9.452	0	0
Bacillus clausii	1010.194	1.898	0.424	4.472	0	0
Shigella flexneri	18.373	-4.934	1.107	-4.457	0	0
Streptococcus mitis	1068.471	5.2	1.09	4.77	0	0
Lactobacillus fermentum	900.488	6.038	0.451	13.395	0	0
Clostridium perfringens	862.055	2.119	0.486	4.364	0	0
Streptococcus equi	800.317	4.502	1.092	4.124	0	0
