Graz-Klagenfurt						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Methanocorpusculum	375.526	10.261	1.144	8.971	0	0
Methanospirillum	88.747	5.167	1	5.166	0	0
Methanoculleus	10.581	-2.007	0.631	-3.183	0.001	0.006
Methanohalophilus	7.75	-5.188	1.954	-2.655	0.008	0.026
Methanosphaera	8.857	-1.909	0.749	-2.55	0.011	0.028
Methanobrevibacter	43.892	-1.649	0.741	-2.225	0.026	0.052
Methanohalobium	6.947	-2.892	1.317	-2.196	0.028	0.052
Methanococcoides	8.111	-1.682	0.925	-1.819	0.069	0.112
Methanocaldococcus	33.469	1.661	1.194	1.391	0.164	0.237
Methanosarcina	176.478	0.461	0.363	1.271	0.204	0.261
Methanothermus	1.199	-2.496	2.04	-1.224	0.221	0.261
Methanococcus	9.452	0.892	0.938	0.95	0.342	0.371
Methanosaeta	0.036	1.66	3.075	0.54	0.589	0.589
Methanocella	0	NA	NA	NA	NA	NA
						
Graz-Leoben						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Methanospirillum	2.741	-3.632	1.473	-2.465	0.014	0.192
Methanosarcina	234.621	-0.442	0.453	-0.976	0.329	0.945
Methanocorpusculum	0.956	3.223	2.373	1.358	0.174	0.945
Methanobrevibacter	124.326	0.145	0.494	0.294	0.769	0.945
Methanocaldococcus	44.752	1.257	1.019	1.234	0.217	0.945
Methanoculleus	31.925	0.073	0.552	0.132	0.895	0.945
Methanosphaera	21.368	0.06	0.47	0.128	0.898	0.945
Methanohalophilus	37.565	0.829	1.337	0.62	0.535	0.945
Methanococcoides	23.414	-0.262	0.694	-0.378	0.705	0.945
Methanococcus	11.924	0.791	0.882	0.897	0.37	0.945
Methanohalobium	16.878	-0.911	1.378	-0.661	0.508	0.945
Methanosaeta	0.079	-0.215	3.052	-0.07	0.944	0.945
Methanocella	0.172	1.367	3.043	0.449	0.653	0.945
Methanothermus	4.561	0.117	1.702	0.069	0.945	0.945
						
Leoben-Klagenfurt						
genus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Methanocorpusculum	330.805	-9.103	1.034	-8.801	0	0
Methanospirillum	77.699	-9.63	0.881	-10.931	0	0
Methanohalophilus	7.768	5.357	1.573	3.406	0.001	0.003
Methanoculleus	8.771	2.005	0.671	2.989	0.003	0.009
Methanosarcina	135.568	-1.001	0.433	-2.309	0.021	0.054
Methanobrevibacter	37.816	1.578	0.883	1.786	0.074	0.138
Methanosphaera	5.875	1.589	0.874	1.818	0.069	0.138
Methanococcoides	6.769	1.26	0.902	1.396	0.163	0.264
Methanocaldococcus	35.249	-0.965	1.224	-0.789	0.43	0.576
Methanothermus	0.856	2.311	3.011	0.767	0.443	0.576
Methanohalobium	1.748	0.781	1.747	0.447	0.655	0.774
Methanocella	0.071	-0.681	3.064	-0.222	0.824	0.893
Methanococcus	11.116	-0.042	0.942	-0.045	0.964	0.964
Methanosaeta	0	NA	NA	NA	NA	NA
