Feature	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
OTU1	279	131	163	96	260	244	15601	7502	912	10538	4727	5376	4493	11431	28428	5891	7339	3520	6657	7074	11400	40503	970
OTU2	221	15	173	166	449	81	122949	15516	1309	17880	15441	10439	6324	98018	49060	34902	32563	3052	25325	59427	155024	865426	1025
OTU3	3425	2557	2686	3519	6904	3129	1457277	416694	38226	350218	338228	301274	131847	510909	546167	333660	455872	328813	642951	519772	533155	510399	15483
OTU4	1	0	0	0	0	0	18	2	0	3	1	1	3	1	38	0	1	0	0	1	0	0	0
OTU5	2191	1875	1458	2552	166	2572	6656	4596	2881	4967	5167	3641	1896	4928	6287	4271	5369	4224	5819	5228	4742	5361	165
OTU6	116	269	334	344	20	320	624	2216	2717	1917	1725	1430	628	2416	2893	1474	2409	1746	3383	2435	2816	2276	55
OTU7	222	80	125	127	1534	57	67	1307	178	988	1356	1086	3213	1533	2207	1338	1372	930	1816	1801	1633	519	63
OTU8	21	8	5	25	3363	4	11	357	124	380	372	482	13803	576	679	380	474	236	628	480	687	390	11
OTU9	93	64	47	118	1043147	19	724	526	232	566	559	455	28757	638	1232	488	739	544	861	607	895	824	23
OTU10	20	6	9	38	6521	3	473	549	652	401	411	606	138633	690	876	398	362	280	831	598	571	720	6
OTU11	178	58	109	158	31895	121	683	1054	521	946	1104	634	24876	1543	1281	808	1372	927	1744	1063	1222	1185	55
OTU12	0	0	1	2	10465	0	2	0	62	4	1	6	391	0	7	0	1	13	12	0	1	0	0
OTU13	4	1	3	0	25202	1	11	4	0	0	1	1	664	0	26	0	0	0	0	0	3	6	0
OTU14	6	8	2	17	37626	115	108	1	4	34	0	1	1107	1	23	0	0	1	2	0	4	5	1
OTU15	1	6	0	1	18272	1	7	2	12	7	0	4	580	0	10	0	1	0	0	0	4	3	0
OTU16	0	0	0	0	428	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0
OTU17	109	35	36	226	1196	27	85	144	140	283	138	124	230	208	164	184	283	102	337	226	261	326	4
OTU18	2	1	0	1	0	0	0	0	55	0	0	0	0	0	1	1	0	0	0	0	0	0	5
OTU19	0	2	1	0	0	0	0	166	8	139	111	122	45	169	301	80	170	158	282	242	223	208	4
