Feature	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
OTU1	0	0	0	1	0	1	0	42	1	0	0	1	0	2	13	1	0	1	1	0	0	16	0
OTU2	1	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU3	2	1	0	1	0	0	0	0	55	0	0	0	0	0	1	1	0	0	0	0	0	0	5
OTU4	0	2	1	0	0	0	0	166	8	139	111	122	45	169	301	80	170	158	282	242	223	208	4
OTU5	0	0	0	0	1	0	0	7	0	0	33	21	12	0	0	0	0	2	0	8	1	0	1
OTU6	0	0	0	0	1	0	0	19	1	9	18	3	8	67	80	12	40	6	36	40	48	6	0
OTU7	3	3	1	1	1	0	1	201	6	163	134	105	95	336	275	158	275	176	292	203	304	237	2
OTU8	0	2	0	3	2	0	0	194	16	185	143	137	59	173	284	157	217	149	259	193	190	180	3
OTU9	0	0	0	0	0	0	0	2	0	3	18	10	11	18	11	4	3	0	16	2	21	2	0
OTU10	0	0	0	0	0	0	0	6	0	2	6	0	4	65	59	0	1	0	0	0	51	0	1
OTU11	3	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	2	0
OTU12	12	2	13	15	6	2	289	29	1	34	1	19	383	0	0	71	0	1	0	0	1	0	2
OTU13	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	10	0	0	0	0	1	1
OTU14	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	15	0	1	0	1	3	1
OTU15	10	6	12	7	33	20	11	169	14	173	224	126	27	203	243	180	161	126	295	215	204	186	4
OTU16	0	0	0	0	0	1	46	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU17	0	0	0	0	0	0	0	5	2	2	1	0	0	2	0	3	36	4	7	0	5	5	0
OTU18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
OTU19	0	0	0	1	0	0	0	1	42	0	0	0	0	0	0	0	5	1	0	0	0	1	0
OTU20	1	9	1	2	2	0	2	0	54	7	0	0	2	11	0	0	54	0	1	0	0	1	2
OTU21	0	1	0	0	2	0	0	0	0	0	0	48	25	1	2	3	1	1	1	2	1	0	5
OTU22	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	6
OTU23	153	63	174	97	3	113	93	12	2	1	0	56	15	10	91	6	44	38	41	77	22	85	1
OTU24	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0
OTU25	1	0	0	0	0	0	0	175	7	108	129	79	43	108	110	144	130	98	216	150	128	139	0
OTU26	0	0	3	0	0	0	0	0	0	2	0	30	1	43	0	52	8	0	15	0	24	0	0
OTU27	111	33	23	6	13082	286	45	1	0	0	160	6	4864	5	109	418	6	7	121	7	12	7	18318
OTU28	0	0	1	2	0	0	3	0	0	0	0	0	12	0	0	0	0	1	0	0	1	0	0
OTU29	2	0	0	6	1	0	11	0	0	0	1	1	0	0	1	4	1	0	0	0	3	2	5
