OTU	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
OTU12	0	0	0	0	0	0	0	137	5	181	91	102	49	112	151	105	205	87	215	130	225	167	0
OTU13	49	0	21	0	1	1	27	0	216	0	0	1	0	0	1	0	0	0	0	0	4	13	0
OTU14	0	0	1	2	0	1	11	11	208	35	21	28	6	18	18	13	13	17	32	7	69	53	0
OTU15	0	0	0	0	0	0	0	0	1	0	0	3	1	12	17	15	0	0	8	10	0	0	0
OTU16	5	0	0	0	0	0	3	0	72	30	85	1	15	3	3	0	0	0	145	68	1	1	0
OTU17	10	0	2	100	0	38	4	0	120	30	0	3	1	4	4	52	2	7	158	69	13	13	0
OTU18	0	0	5	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU19	6	0	1	0	0	2	1	0	93	0	0	7	10	4	13	1	34	1	6	2	40	38	5
OTU20	1	2	1	1	1	0	34	1	7	2	0	2	0	0	0	0	15	0	0	0	0	0	0
OTU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	2	1	0	0	0
OTU22	608	476	463	499	15	554	299	0	24	0	0	0	0	0	0	0	13	0	1	0	1	0	1
OTU23	1	0	4	2	0	4	3	24	54	23	21	29	5	58	67	16	48	20	30	44	62	75	0
OTU24	89	71	73	159	11	156	40	0	164	13	0	5	2	0	3	0	1	0	1	0	1	0	0
OTU26	0	0	0	0	0	0	0	0	183	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU27	15	2	2	0	0	0	0	21	8	87	11	14	2	56	26	19	5	22	13	35	59	10	3
OTU28	2	0	0	1	0	0	4	2	0	30	10	42	2	1	117	0	25	0	78	1	14	0	0
OTU29	0	0	0	0	0	0	0	0	0	50	42	65	11	33	0	30	0	76	29	149	43	1	0
OTU30	2	1	0	0	5	1	5	135	659	38	130	7	39	17	139	36	74	14	66	19	31	82	2
OTU31	164	98	99	132	9	112	77	18	181	39	8	19	8	44	82	27	33	0	1	1	0	49	1
OTU32	4	25	1	1	0	2	0	200	88	91	176	145	53	189	147	116	219	97	287	190	80	244	5
