OTU	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
OTU1	2	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2	0	0	0	0	1	0	412	288	10	147	204	237	85	360	463	222	302	224	584	527	455	421	0
OTU3	0	0	0	0	0	0	0	88	0	100	1	13	15	10	3	6	36	48	6	96	72	11	2
OTU4	0	0	1	0	0	0	21	1	0	8	0	1	2	0	60	0	0	0	0	0	0	0	0
OTU5	0	0	0	0	0	0	0	0	0	46	0	0	28	1	0	107	1	0	3	59	48	70	0
OTU6	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7	0	0	0	0	0	0	17	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0
OTU8	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU9	0	0	0	0	0	0	0	22	0	62	0	2	0	2	10	0	0	0	0	0	0	0	4
OTU10	0	0	0	0	0	0	0	3	0	37	3	7	13	0	3	0	0	0	0	0	0	0	0
OTU11	0	0	0	0	0	0	0	1	2	5	14	3	8	24	9	7	24	9	20	22	16	72	0
OTU12	1	0	0	0	0	1	0	1	4	612	3	0	0	1	34	0	0	0	7	0	1	2045	0
OTU13	1	0	0	1	0	1	1	0	3	1536	6	0	0	3	48	1	0	0	10	0	0	3424	0
OTU14	1	0	0	0	0	0	0	0	2	902	6	0	0	1	39	0	0	0	12	0	0	2274	0
OTU15	5	0	0	0	0	0	0	0	12	3252	9	0	0	7	86	1	0	0	21	0	1	7177	0
OTU16	0	0	0	0	49	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
OTU17	0	0	0	0	17	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
OTU18	0	0	0	0	49	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU19	0	0	0	0	50	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
OTU20	245	168	198	248	9	227	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
OTU22	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
OTU23	176	98	124	149	7	143	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU24	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU25	0	0	0	0	0	0	23	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	27	2	4	0
OTU27	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0
OTU28	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU29	0	0	0	0	3	0	169	1	0	18	2	10	10	1	1	0	0	0	0	0	0	0	10
OTU30	0	0	0	0	2	0	149	0	2	0	0	0	1	4	17	4	1	0	1	0	0	1	5
OTU31	0	0	0	0	0	0	185	113	14	80	77	62	10	49	68	19	59	30	60	50	147	126	7
OTU32	0	0	0	0	0	0	50	74	0	525	27	134	115	26	42	2	3	0	0	0	19	24	0
OTU33	0	0	0	0	0	0	37	2	0	12	2	3	5	0	0	0	1	1	0	3	1	2	0
OTU34	175	103	154	129	8	94	75	237	0	1089	72	448	338	41	58	0	0	0	0	0	0	103	2
OTU35	0	0	0	0	0	0	0	10	1	41	2	24	14	1	4	0	0	0	0	0	0	0	0
OTU36	0	0	1	2	0	0	1	205	0	1025	55	356	264	63	104	0	0	0	0	0	0	0	0
OTU37	0	0	0	0	1	0	9	138	11	71	68	59	40	252	248	140	215	107	295	192	282	289	0
OTU38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	94	0
OTU39	0	0	0	0	0	0	0	8	0	61	3	32	14	4	4	0	0	0	0	0	0	0	0
OTU40	0	0	0	0	0	0	5	3	0	14	2	6	2	2	1	0	0	0	0	0	0	0	1
OTU41	95	41	42	48	4	121	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU42	0	0	0	0	0	0	12	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0
OTU43	0	0	0	0	0	0	98	4	0	5	0	4	5	1	0	0	0	0	0	0	0	0	0
OTU44	0	0	0	0	0	0	22	285	11	188	325	267	201	572	709	299	535	385	631	518	641	550	0
OTU45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
OTU46	189	104	229	179	6	122	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU47	97	104	114	109	5	64	81	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU48	247	142	245	262	6	202	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU49	179	89	123	149	4	127	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
