Header	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae;g__Hyperthermus;s__Hyperthermus butylicus	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	60	0	46	44	2	71	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus tokodaii	2	0	0	110	1	40	33	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__Thermofilum;s__Thermofilum pendens	101	64	87	84	0	49	29	3	2	7	0	1	3	1	46	0	0	0	0	0	0	0	3
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum	1	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	1	0	1	0	5	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum arsenaticum	3	0	2	0	0	1	0	0	0	8	14	1	0	5	10	7	23	0	0	12	32	10	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum islandicum	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus	0	1	0	0	0	0	0	23	88	103	61	8	9	38	17	26	47	24	57	23	54	19	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	116	57	0	0	0	1	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	1	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halomicrobium;s__Halomicrobium mukohataei	0	0	0	3	0	0	0	0	14	0	8	0	12	2	0	2	1	46	65	2	2	0	3
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloterrigena;s__Haloterrigena turkmenica	0	9	0	0	0	0	0	87	7	79	66	63	47	29	66	125	137	159	222	45	61	95	1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter ruminantium	0	0	0	0	0	0	0	137	5	181	91	102	49	112	151	105	205	87	215	130	225	167	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	49	0	21	0	1	1	27	0	216	0	0	1	0	0	1	0	0	0	0	0	4	13	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera stadtmanae	0	0	1	2	0	1	11	11	208	35	21	28	6	18	18	13	13	17	32	7	69	53	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus	0	0	0	0	0	0	0	0	1	0	0	3	1	12	17	15	0	0	8	10	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus infernus	5	0	0	0	0	0	3	0	72	30	85	1	15	3	3	0	0	0	145	68	1	1	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii	10	0	2	100	0	38	4	0	120	30	0	3	1	4	4	52	2	7	158	69	13	13	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus aeolicus	0	0	5	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	6	0	1	0	0	2	1	0	93	0	0	7	10	4	13	1	34	1	6	2	40	38	5
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus vannielii	1	2	1	1	1	0	34	1	7	2	0	2	0	0	0	0	15	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella paludicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	2	1	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum labreanum	608	476	463	499	15	554	299	0	24	0	0	0	0	0	0	0	13	0	1	0	1	0	1
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus marisnigri	1	0	4	2	0	4	3	24	54	23	21	29	5	58	67	16	48	20	30	44	62	75	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum hungatei	89	71	73	159	11	156	40	0	164	13	0	5	2	0	3	0	1	0	1	0	1	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__unclassified (derived from Methanomicrobiales);g__Methanoregula;s__Methanoregula boonei	19	20	45	13	1	8	64	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta;s__Methanosaeta thermophila	0	0	0	0	0	0	0	0	183	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides burtonii	15	2	2	0	0	0	0	21	8	87	11	14	2	56	26	19	5	22	13	35	59	10	3
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalobium;s__Methanohalobium evestigatum	2	0	0	1	0	0	4	2	0	30	10	42	2	1	117	0	25	0	78	1	14	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus mahii	0	0	0	0	0	0	0	0	0	50	42	65	11	33	0	30	0	76	29	149	43	1	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans	2	1	0	0	5	1	5	135	659	38	130	7	39	17	139	36	74	14	66	19	31	82	2
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri	164	98	99	132	9	112	77	18	181	39	8	19	8	44	82	27	33	0	1	1	0	49	1
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	4	25	1	1	0	2	0	200	88	91	176	145	53	189	147	116	219	97	287	190	80	244	5
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus abyssi	0	0	0	2	0	0	0	0	77	1	1	0	0	0	1	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus furiosus	8	1	1	0	0	0	2	0	19	0	0	1	2	1	1	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus horikoshii	0	0	1	1	0	0	16	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus kodakarensis	0	1	1	1	0	0	0	30	128	22	24	34	16	46	113	15	38	19	24	26	70	58	3
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus onnurineus	0	0	0	1	0	0	0	7	70	21	23	1	8	29	65	12	34	3	5	0	59	54	1
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sibiricus	2	0	1	0	0	1	0	19	1	7	29	10	1	55	63	11	3	5	12	14	0	31	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae;g__Picrophilus;s__Picrophilus torridus	0	0	0	0	0	0	0	15	6	0	1	1	0	7	1	0	0	0	0	0	1	14	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Thermoplasma;s__Thermoplasma acidophilum	218	133	193	156	10	120	48	0	83	0	0	0	7	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Thermoplasma;s__Thermoplasma volcanium	0	0	0	5	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__unclassified (derived from Euryarchaeota);o__unclassified (derived from Euryarchaeota);f__unclassified (derived from Euryarchaeota);g__Aciduliprofundum;s__Aciduliprofundum boonei	0	0	0	3	0	0	0	191	9	130	108	66	30	208	231	113	162	117	257	330	215	37	0
k__Archaea;p__Euryarchaeota;c__unclassified (derived from Euryarchaeota);o__unclassified (derived from Euryarchaeota);f__unclassified (derived from Euryarchaeota);g__unclassified (derived from Euryarchaeota);s__uncultured methanogenic archaeon RC-I	10	0	79	4	2	2	2	83	2	98	0	7	29	2	40	106	1	103	9	59	49	73	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__Candidatus Solibacter usitatus	138	235	121	26	71	369	120	0	206	11	0	7	41	1	0	0	61	0	0	2	2	14	0
k__Bacteria;p__Acidobacteria;c__unclassified (derived from Acidobacteria);o__unclassified (derived from Acidobacteria);f__unclassified (derived from Acidobacteria);g__Candidatus Koribacter;s__Candidatus Koribacter versatilis	152	96	121	153	12	102	82	0	82	1	2	10	1	1	67	0	7	0	11	4	34	19	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Acidothermaceae;g__Acidothermus;s__Acidothermus cellulolyticus	241	185	266	330	3	316	102	0	96	0	0	0	0	0	0	5	381	2	3	0	4	50	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	131	0	1	0	0	23	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. oral taxon 180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. oral taxon 848	1	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	27	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urogenitalis	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	2	12	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces viscosus	127	98	3	165	2	183	103	0	0	0	0	0	4	0	0	1	6	0	0	0	1	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium haemolyticum	651	391	551	706	12	646	329	103	1	49	33	45	11	76	95	63	68	54	128	119	138	118	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	39	10	61	22	2	22	10	0	0	0	0	1	0	2	2	4	40	0	3	1	7	148	0
