Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Malassezia,111,33,23,6,13082,286,45,1,0,0,160,6,4864,5,109,418,6,7,121,7,12,7,18318
Neosartorya,3,3,1,1,2,0,1,220,7,172,152,108,103,403,355,170,315,182,328,243,352,243,2
Saccharomyces,10,6,12,7,33,20,11,169,14,173,224,126,27,203,243,180,161,126,295,215,204,186,4
Penicillium,0,2,0,3,2,0,0,194,16,185,143,137,59,173,284,157,217,149,259,193,190,180,3
Aspergillus,2,3,1,1,0,0,0,166,63,139,111,122,45,169,302,81,170,158,282,242,223,208,9
Coprinopsis,1,0,0,0,0,0,0,175,7,108,129,79,43,108,110,144,130,98,216,150,128,139,0
Neurospora,153,63,174,97,3,113,93,12,2,1,0,56,15,10,91,6,44,38,41,77,22,85,1
Clavispora,12,2,13,15,6,2,289,29,1,34,1,19,383,0,0,71,0,1,0,0,1,0,2
Lodderomyces,0,0,0,0,0,0,0,6,0,2,6,0,4,65,59,0,1,0,0,0,51,0,1
Schizophyllum,0,0,3,0,0,0,0,0,0,2,0,30,1,43,0,52,8,0,15,0,24,0,0
Gibberella,1,9,1,2,2,0,2,0,54,7,0,0,2,11,0,0,54,0,1,0,0,1,2
Debaryomyces,0,0,0,0,0,0,0,2,0,3,18,10,11,18,11,4,3,0,16,2,21,2,0
unnamed,0,0,0,0,0,0,1,5,2,2,1,0,0,2,0,3,36,4,7,0,5,31,0
Magnaporthe,0,1,0,0,2,0,0,0,0,0,0,48,25,1,2,3,1,1,1,2,1,0,5
Emericella,0,0,0,0,1,0,0,7,0,0,33,21,12,0,0,0,0,2,0,8,1,0,1
Phaeosphaeria,0,0,0,1,0,1,0,42,1,0,0,1,0,2,13,1,0,1,1,0,0,16,0
Schizosaccharomyces,0,0,0,1,0,0,0,1,42,0,0,0,0,0,0,0,5,1,0,0,0,1,0
Vanderwaltozyma,0,0,0,0,0,1,46,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ustilago,2,0,0,6,1,0,11,0,0,0,1,1,0,0,1,4,1,0,0,0,3,2,5
Yarrowia,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,2,0
Lachancea,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,15,0,1,0,1,3,1
Filobasidiella,0,0,1,2,0,0,3,0,0,0,0,0,12,0,0,0,0,1,0,0,1,0,0
Podospora,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,6
Kluyveromyces,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,1,1
