Sample,Capric acid,Butyric acid,L-Leucine,L-Valine,L-Isoleucine ,Propionic acid,Propylene glycol,Isopropyl alcohol,Valeric acid,L-Lactic acid,L-Alanine,L-Lysine,Acetic acid,5-Aminopentanoic acid,L-Glutamic acid,Succinic acid,beta-Alanine,Methylamine,L-Aspartic acid,Sarcosine,Trimethylamine,L-Asparagine,Malonic acid,Choline,Betaine,Taurine,Phenylacetic acid,Glycine,Glycerol,D-Fructose,L-Proline,Lactulose,D-Glucose,Galactose,Sucrose,Uracil,Fumaric acid,Deoxyuridine,"3,4-Dihydroxybenzeneacetic acid",L-Tyrosine,Gallic acid,L-Histidine,p-Cresol,L-Phenylalanine,L-Tryptophan,Xanthine,Hypoxanthine,Formic acid,Nicotinic acid,2'FL,3SL,6SL,LDNDFH,LNFP1,LNFP3,LNnT,LNT,3FL,LDFT,LSTa,LSTb,LSTc,Methyl,Sum H1'
G04-3,19.4989,5.7186,10.1688,11.0472,4.5039,5.2059,5.5349,13.8176,17.5382,14.1095,5.708,12.0358,27.7479,1.5885,4.7389,4.1765,7.9704,1.2662,22.5662,2.8982,0.7785,1.2662,1.1483,1.1589,7.3818,7.196,18.5259,47.7507,117.7957,6.1283,7.0978,1.8913,54.024,1.8808,0.2945,0.3876,0.0411,-0.0888,-0.0607,0.6498,0.3204,0.4871,0.6229,0.7949,0.3073,0.09,0.0765,0.7081,-0.2603,6.5517,27.6226,16.9986,7.8892,19.234,6.4371,6.0835,22.6477,0.961,0.522,11.8246,15.4254,16.5776,617.8668,8.6237
G02-3,6.8951,7.2699,29.76,21.1257,12.0574,3.6442,5.1576,24.2316,7.5796,35.2414,18.1421,19.9546,15.4319,1.6078,17.1342,3.7291,1.7374,0.7056,3.0129,2.8533,1.0426,1.7398,1.7186,1.9831,12.056,23.8786,30.3203,207.0966,432.1876,20.5593,5.4622,2.7144,50.4914,0.8425,0.9387,0.2947,0.0251,0.1747,0.0971,3.7298,0.1993,1.2634,0.6222,4.3871,0.3609,0.034,0.0396,0.4712,0.0471,2.9361,19.8954,15.6444,19.8638,13.4979,7.978,3.8817,34.914,2.5639,1.514,12.3194,15.9978,45.3929,796.5483,43.5529
G02-7,7.2905,5.4094,16.8284,13.0127,4.7582,2.847,7.6469,43.782,7.1373,29.9456,12.5365,22.5948,271.3052,1.7157,21.988,24.0375,2.2637,0.579,7.8211,5.1644,0.8994,2.4928,1.8926,1.7024,16.6997,4.2198,68.4829,121.3182,275.7852,33.8861,9.7796,3.4951,95.3344,1.0091,0.3632,0.2582,0.0866,0.0468,-0.0744,1.4642,0.3049,0.8304,0.3064,2.332,0.3204,0.0565,0.0125,0.4431,-0.0135,8.1162,23.7737,57.5585,6.2593,13.268,5.3127,4.3143,18.7359,0.8937,0.3911,7.4066,12.2303,13.2884,422.8393,2.8237
G01-1,6.7054,5.2119,15.7575,10.3234,3.7667,3.9335,4.5176,12.7126,5.8509,9.7923,6.912,12.8528,11.5147,3.8755,8.7494,4.7602,2.226,0.9011,5.4753,3.3947,1.3225,1.4449,1.8727,1.8707,3.3822,5.6691,19.7079,47.5968,93.433,5.9009,5.7898,2.5135,5.9412,0.3356,1.3058,0.3361,0.0693,0.0844,0.0604,0.7303,0.3896,0.5315,0.6715,0.6761,0.0729,0.1138,-0.0425,0.3531,-0.3802,3.8881,12.0584,10.6528,5.8766,7.5917,2.2148,2.9426,8.4024,0.8777,0.9461,4.3003,10.0424,6.8984,194.8766,4.9106
G01-3,6.3391,5.672,11.0286,9.5906,3.6468,6.5593,7.4346,37.4145,5.1129,8.8099,5.707,11.0355,10.0542,1.8006,4.3107,2.9217,1.9688,0.7804,2.4468,3.4749,0.8299,0.8992,1.3663,1.4321,5.9524,10.2848,32.4753,113.7981,280.4075,26.5649,6.3596,4.03,68.5371,0.903,1.1361,0.4668,0.0988,0.1217,-0.0111,0.587,0.2462,0.37,0.4662,1.8712,0.0751,0.0611,0.0986,0.5205,-0.0964,2.0302,15.0602,27.5986,26.119,15.0583,12.0263,3.3821,40.4928,2.0087,0.8852,12.9776,19.1415,88.4256,1130.2288,68.9576
G05-1,7.8827,6.5213,17.5712,10.7192,3.8369,2.9708,4.5216,13.4089,7.0439,10.3207,6.4644,13.4906,11.8815,4.0825,7.6125,5.1627,2.0967,0.8522,4.0953,3.6354,1.3635,1.4054,1.6044,1.8036,2.3997,4.3119,15.7613,33.3728,61.7113,7.8649,7.3113,3.3741,7.6359,0.5969,0.2287,0.373,-0.025,0.0814,0.0546,0.7547,0.3137,0.4693,0.7873,0.7476,0.0743,0.0955,-0.0733,0.3929,-0.009,2.6811,28.5247,14.7971,7.1831,13.4974,8.5773,4.4897,19.1572,0.6603,0.2697,10.1744,13.1289,20.4,589.1441,5.5585
G12-3,6.96,5.9464,14.3083,16.9904,3.4046,4.9671,5.0733,4.916,6.7431,54.5411,7.5055,15.2514,73.105,2.9623,11.1203,12.9318,5.8482,1.3113,9.3335,2.8523,3.3314,4.9207,6.0089,4.7228,1.5106,8.5978,7.4623,9.2243,16.0712,12.6186,13.4827,2.066,7.9277,0.573,1.1685,0.2745,0.0342,0.0529,0.1061,0.8024,0.2174,1.0016,0.7212,0.5058,0.1262,0.0716,0.1186,3.9377,0.028,1.656,16.376,7.9539,5.0592,9.5099,2.7618,5.9421,10.9493,0.6622,0.5526,11.1427,12.5023,9.8992,220.7969,11.5302
G11-1,6.206,5.001,19.5035,11.8243,4.8237,2.8133,4.9487,12.9615,6.2115,10.4166,7.5527,12.947,11.2881,4.3178,8.5501,5.1991,1.845,0.8191,2.846,3.6994,1.2815,1.5968,1.8115,1.9202,3.6442,5.4732,21.9062,55.9894,99.8218,7.5717,7.559,2.995,12.531,1.0079,0.2535,0.3801,0.0301,0.129,0.1942,1.1674,0.2688,0.398,0.62,1.0913,0.1098,0.0258,0.0247,0.3659,-0.0077,0.7533,13.559,19.7297,6.8864,14.4197,6.4732,8.5594,21.3889,1.5656,1.177,8.74,15.2455,23.5148,489.2654,17.3656
G11-3,19.9597,3.1985,12.0071,9.0453,4.4728,5.9482,5.7723,19.8691,34.6445,22.4329,7.8303,10.8057,107.7429,2.8748,11.1152,3.2376,1.2528,0.951,2.7312,3.7896,1.711,2.2897,1.2778,1.9552,3.1853,6.665,24.8071,28.8391,68.6604,7.9785,8.2632,1.8843,47.1416,0.9544,0.3559,0.4063,0.053,0.1173,0.1664,1.2111,0.1491,0.6957,0.2815,1.2824,0.1391,0.0369,-0.0162,1.9173,-0.0647,3.0982,56.0355,12.922,9.3512,24.0094,10.7504,9.0806,26.1389,0.6222,0.4414,13.8471,15.0091,17.2154,1421.7528,18.0955
G14-1,5.8272,5.5078,29.3392,22.5228,10.0642,2.4123,2.8038,12.5153,5.1951,22.086,16.0432,18.1529,11.2542,2.3032,18.0983,4.6686,3.0702,0.9394,7.8329,5.6161,1.2459,1.5603,2.413,2.7325,4.2913,7.2903,20.6936,68.6365,130.438,7.3811,10.3619,2.9262,5.2832,0.8656,0.156,0.071,0.0089,0.0553,-0.0725,2.8623,0.2875,1.3861,0.5602,3.6284,0.2355,0.0665,-0.0148,0.3903,-0.0489,0.886,14.8096,21.512,6.1154,14.3429,5.0016,8.7938,19.8633,1.7331,1.1425,8.2195,19.3577,29.1506,436.4971,15.4732
