	Metabolite	Taxa	Correlation	Pvalue	Group	AdjPvalue	Significance
1	Staphylococcus	Capric_acid	-0.379771623	0.400748675	1	0.601123013	
2	Staphylococcus	Butyric_acid	-0.674761575	0.096331938	1	0.288995813	
3	Staphylococcus	L_Leucine	0.366246601	0.419087822	1	0.935529916	
4	Staphylococcus	L_Valine	0.485159627	0.269775073	1	0.809325219	
5	Staphylococcus	L_Isoleucine	0.509276564	0.243036397	1	0.72910919	
6	Staphylococcus	Propionic_acid	0.592768752	0.16072644	1	0.24108966	
7	Staphylococcus	Propylene_glycol	0.257419921	0.577324517	1	0.688412335	
8	Staphylococcus	Isopropyl_alcohol	0.319499092	0.48485622	1	0.661372596	
9	Staphylococcus	Valeric_acid	-0.199463721	0.668075609	1	0.868455223	
10	Staphylococcus	L_Lactic_acid	0.257391846	0.57736752	1	0.842644508	
11	Staphylococcus	L_Alanine	0.426454819	0.340022965	1	0.73594707	
12	Staphylococcus	L_Lysine	0.395416219	0.379944373	1	0.845926552	
13	Staphylococcus	Acetic_acid	0.139815919	0.76495431	1	0.913628881	
14	Staphylococcus	Aminopentanoic_acid	0.760570709	0.047129333	1	0.141387999	
15	Staphylococcus	L_Glutamic_acid	0.241870596	0.601292274	1	0.719642086	
16	Staphylococcus	Succinic_acid	0.172441704	0.711586957	1	0.719656479	
17	Staphylococcus	beta_Alanine	-0.468861694	0.288558849	1	0.791035294	
18	Staphylococcus	Methylamine	-0.503288907	0.249555401	1	0.748666204	
19	Staphylococcus	L_Aspartic_acid	-0.577557846	0.174496047	1	0.329236162	
20	Staphylococcus	Sarcosine	-0.358666053	0.429506083	1	0.944012382	
21	Staphylococcus	Trimethylamine	-0.584717944	0.167944755	1	0.251917133	
22	Staphylococcus	L_Asparagine	-0.198690385	0.669311199	1	0.669311199	
23	Staphylococcus	Malonic_acid	-0.799699714	0.030859664	1	0.092578992	
24	Staphylococcus	Choline	-0.703490186	0.077774192	1	0.233322576	
25	Staphylococcus	Betaine	0.487621367	0.266987414	1	0.40048112	
26	Staphylococcus	Taurine	0.473951936	0.282631404	1	0.423947106	
27	Staphylococcus	Phenylacetic_acid	0.46607406	0.291828156	1	0.437742235	
28	Staphylococcus	Glycine	0.170834508	0.714195741	1	0.789888835	
29	Staphylococcus	Glycerol	0.23836971	0.606729022	1	0.90154831	
30	Staphylococcus	D_Fructose	0.310684582	0.497647838	1	0.497647838	
31	Staphylococcus	L_Proline	0.482074007	0.273287696	1	0.409931544	
32	Staphylococcus	Lactulose	0.297926099	0.51636914	1	0.673157394	
33	Staphylococcus	D_Glucose	0.105385573	0.822083725	1	0.822083725	
34	Staphylococcus	Galactose	0.380263681	0.400087584	1	0.52967606	
35	Staphylococcus	Sucrose	-0.411495924	0.359033348	1	0.359033348	
36	Staphylococcus	Uracil	0.141535596	0.762121127	1	0.877747048	
37	Staphylococcus	Fumaric_acid	0.373373004	0.409384634	1	0.716641185	
38	Staphylococcus	Deoxyuridine	-0.268660415	0.560188144	1	0.560188144	
39	Staphylococcus	Dihydroxybenzeneacetic_acid	-0.403516262	0.369349822	1	0.554024733	
40	Staphylococcus	L_Tyrosine	0.339642102	0.456079041	1	0.899451061	
41	Staphylococcus	Gallic_acid	-0.003811382	0.993529644	1	0.993529644	
42	Staphylococcus	L_Histidine	0.460608923	0.298284906	1	0.79951362	
43	Staphylococcus	p_Cresol	-0.46927381	0.288076913	1	0.533959025	
44	Staphylococcus	L_Phenylalanine	0.32766852	0.473107647	1	0.858898236	
45	Staphylococcus	L_Tryptophan	0.486289643	0.268493821	1	0.402740731	
46	Staphylococcus	Xanthine	-0.549290302	0.201554802	1	0.604664407	
47	Staphylococcus	Hypoxanthine	0.569726875	0.181802088	1	0.545406264	
48	Staphylococcus	Formic_acid	-0.119035113	0.799348342	1	0.799348342	
49	Staphylococcus	Nicotinic_acid	0.195952029	0.673691127	1	0.808676512	
50	Staphylococcus	Two_FL	0.199463721	0.668075609	1	0.668075609	
51	Staphylococcus	Three_SL	0.291179502	0.526364711	1	0.805408631	
52	Staphylococcus	Six_SL	0.014516901	0.975357941	1	0.975357941	
53	Staphylococcus	LDNDFH	0.55244982	0.1984367	1	0.29765505	
54	Staphylococcus	LNFP1	-0.036510038	0.938059936	1	0.938059936	
55	Staphylococcus	LNFP3	0.117835659	0.801341904	1	0.801341904	
56	Staphylococcus	LNnT	0.313402848	0.493690491	1	0.740535737	
57	Staphylococcus	LNT	0.177152678	0.703953105	1	0.831438677	
58	Staphylococcus	Three_FL	0.284181665	0.53680072	1	0.53680072	
59	Staphylococcus	LDFT	0.478403604	0.27749269	1	0.39549512	
60	Staphylococcus	LSTa	0.114649972	0.806640844	1	0.806640844	
61	Staphylococcus	LSTb	0.07747584	0.86886732	1	0.902748956	
62	Staphylococcus	LSTc	0.745611814	0.054361502	1	0.163084506	
63	Staphylococcus	Methyl	0.246925097	0.593468713	1	0.89020307	
64	Lactobacillus	Capric_acid	-0.137181576	0.769298447	1	0.769298447	
65	Lactobacillus	Butyric_acid	-0.340043699	0.4555119	1	0.4555119	
