	Metabolite	Taxa	Correlation	Pvalue	Group	AdjPvalue	Significance
1	Staphylococcus	Capric_acid	-0.162915388	0.793490956	1	0.793490956	
2	Staphylococcus	Butyric_acid	0.264109608	0.667676574	1	0.667676574	
3	Staphylococcus	L_Leucine	-0.19494006	0.753375727	1	0.936850426	
4	Staphylococcus	L_Valine	-0.010842785	0.986194807	1	0.986194807	
5	Staphylococcus	L_Isoleucine	-0.1943039	0.754170222	1	0.754170222	
6	Staphylococcus	Propionic_acid	0.129330182	0.835791905	1	0.955261277	
7	Staphylococcus	Propylene_glycol	0.301946819	0.621473833	1	0.932210749	
8	Staphylococcus	Isopropyl_alcohol	0.247557797	0.688049389	1	0.764684143	
9	Staphylococcus	Valeric_acid	-0.149495826	0.810367398	1	0.930904069	
10	Staphylococcus	L_Lactic_acid	-0.586815535	0.298268622	1	0.742283936	
11	Staphylococcus	L_Alanine	-0.481841495	0.411144091	1	0.616716137	
12	Staphylococcus	L_Lysine	-0.02479097	0.96843839	1	0.993843466	
13	Staphylococcus	Acetic_acid	-0.537034483	0.350686891	1	0.350686891	
14	Staphylococcus	Aminopentanoic_acid	0.186074667	0.764456729	1	0.8108832	
15	Staphylococcus	L_Glutamic_acid	-0.319898752	0.599749988	1	0.687290953	
16	Staphylococcus	Succinic_acid	-0.792967087	0.109502435	1	0.288268058	
17	Staphylococcus	beta_Alanine	0.013343992	0.983010406	1	0.983010406	
18	Staphylococcus	Methylamine	0.324747913	0.593905368	1	0.702038973	
19	Staphylococcus	L_Aspartic_acid	0.175252087	0.77800965	1	0.77800965	
20	Staphylococcus	Sarcosine	0.625205639	0.259392831	1	0.389089246	
21	Staphylococcus	Trimethylamine	-0.656993154	0.228335186	1	0.342502779	
22	Staphylococcus	L_Asparagine	0.062869352	0.920005019	1	0.920005019	
23	Staphylococcus	Malonic_acid	-0.422622634	0.478377657	1	0.717566486	
24	Staphylococcus	Choline	-0.563036842	0.32303928	1	0.969117841	
25	Staphylococcus	Betaine	-0.322468479	0.596651464	1	0.889523133	
26	Staphylococcus	Taurine	0.583348128	0.301848939	1	0.301848939	
27	Staphylococcus	Phenylacetic_acid	0.251798713	0.682820706	1	0.682820706	
28	Staphylococcus	Glycine	-0.172385699	0.781603691	1	0.781603691	
29	Staphylococcus	Glycerol	0.055123964	0.929849551	1	0.929849551	
30	Staphylococcus	D_Fructose	0.187559252	0.762599775	1	0.762599775	
31	Staphylococcus	L_Proline	0.656773545	0.228546014	1	0.617070995	
32	Staphylococcus	Lactulose	0.928288267	0.02280298	1	0.068408941	
33	Staphylococcus	D_Glucose	0.79331727	0.109230886	1	0.327692658	
34	Staphylococcus	Galactose	0.22096813	0.720961244	1	0.720961244	
35	Staphylococcus	Sucrose	0.200883311	0.745958236	1	0.967181034	
36	Staphylococcus	Uracil	-0.475934192	0.417746942	1	0.626620413	
37	Staphylococcus	Fumaric_acid	-0.328446068	0.589454938	1	0.589454938	
