	Metabolite	Taxa	Correlation	Pvalue	Group	AdjPvalue	Significance
1	Enterococcus	Capric_acid	-0.128939328	0.722587889	1	0.722587889	
2	Enterococcus	Butyric_acid	-0.129699777	0.721006475	1	0.721006475	
3	Enterococcus	L_Leucine	0.250141205	0.485787537	1	0.485787537	
4	Enterococcus	L_Valine	0.220803039	0.539860996	1	0.539860996	
5	Enterococcus	L_Isoleucine	0.351363996	0.319458863	1	0.319458863	
6	Enterococcus	Propionic_acid	0.371215496	0.290916816	1	0.292532562	
7	Enterococcus	Propylene_glycol	0.304713887	0.391957266	1	0.391957266	
8	Enterococcus	Isopropyl_alcohol	0.149572146	0.680033017	1	0.680033017	
9	Enterococcus	Valeric_acid	-0.231490846	0.519888632	1	0.519888632	
10	Enterococcus	L_Lactic_acid	-0.102142149	0.778880604	1	0.790334388	
11	Enterococcus	L_Alanine	-0.011053342	0.975823769	1	0.980497792	
12	Enterococcus	L_Lysine	0.039484572	0.913762031	1	0.913762031	
13	Enterococcus	Acetic_acid	0.026421734	0.942242789	1	0.944587982	
14	Enterococcus	Aminopentanoic_acid	0.589101148	0.073130841	1	0.073130841	
15	Enterococcus	L_Glutamic_acid	-0.37765816	0.281959053	1	0.307491694	
16	Enterococcus	Succinic_acid	-0.110165362	0.761916748	1	0.779269271	
17	Enterococcus	beta_Alanine	-0.377735551	0.281852368	1	0.281852368	
18	Enterococcus	Methylamine	0.055951828	0.877987827	1	0.877987827	
19	Enterococcus	L_Aspartic_acid	-0.198636511	0.582225087	1	0.592859959	
20	Enterococcus	Sarcosine	-0.025919228	0.943339763	1	0.981718265	
21	Enterococcus	Trimethylamine	-0.37218505	0.289559134	1	0.298085729	
22	Enterococcus	L_Asparagine	-0.377402145	0.282312131	1	0.28237709	
23	Enterococcus	Malonic_acid	-0.013355348	0.970790386	1	0.998496433	
24	Enterococcus	Choline	0.219354656	0.542590898	1	0.567144488	
25	Enterococcus	Betaine	-0.588915304	0.073244075	1	0.082112897	
26	Enterococcus	Taurine	0.383317938	0.274214556	1	0.274214556	
27	Enterococcus	Phenylacetic_acid	0.257669764	0.472303154	1	0.472303154	
28	Enterococcus	Glycine	0.247191887	0.491114829	1	0.491114829	
29	Enterococcus	Glycerol	0.144741267	0.689928746	1	0.689928746	
30	Enterococcus	D_Fructose	0.37432104	0.286580099	1	0.286580099	
31	Enterococcus	L_Proline	-0.044477418	0.902897892	1	0.910271761	
32	Enterococcus	Lactulose	0.335219184	0.343702331	1	0.343702331	
33	Enterococcus	D_Glucose	0.142136531	0.695282089	1	0.695282089	
34	Enterococcus	Galactose	-0.050348434	0.89014157	1	0.89014157	
35	Enterococcus	Sucrose	0.221342249	0.538846101	1	0.562356249	
36	Enterococcus	Uracil	-0.373001193	0.288418917	1	0.295228401	
37	Enterococcus	Fumaric_acid	-0.148904341	0.681398391	1	0.699282808	
38	Enterococcus	Deoxyuridine	0.373914044	0.287146454	1	0.293639809	
39	Enterococcus	Dihydroxybenzeneacetic_acid	-0.572939135	0.083408156	1	0.083408156	
40	Enterococcus	L_Tyrosine	-0.374942618	0.285716306	1	0.285716306	
41	Enterococcus	Gallic_acid	0.595420354	0.069348085	1	0.069348085	
42	Enterococcus	L_Histidine	0.008614128	0.981157992	1	0.981157992	
43	Enterococcus	p_Cresol	0.402786107	0.248474087	1	0.248474087	
44	Enterococcus	L_Phenylalanine	-0.201554325	0.57657875	1	0.598130462	
45	Enterococcus	L_Tryptophan	-0.250421783	0.485282039	1	0.485282039	
46	Enterococcus	Xanthine	0.049151122	0.892741291	1	0.892741291	
47	Enterococcus	Hypoxanthine	0.033325171	0.927182095	1	0.934146121	
48	Enterococcus	Formic_acid	-0.237994838	0.507886011	1	0.530824577	
49	Enterococcus	Nicotinic_acid	0.062179939	0.86450606	1	0.86450606	
50	Enterococcus	Two_FL	0.039919282	0.912815591	1	0.912815591	
51	Enterococcus	Three_SL	0.127135581	0.726342694	1	0.726342694	
52	Enterococcus	Six_SL	0.036855698	0.919487583	1	0.919487583	
53	Enterococcus	LDNDFH	0.584018316	0.076268937	1	0.077566713	
54	Enterococcus	LNFP1	-0.129871707	0.720649067	1	0.73229852	
55	Enterococcus	LNFP3	0.664760886	0.035984949	1	0.035984949	*
56	Enterococcus	LNnT	-0.599581891	0.066928042	1	0.067396873	
57	Enterococcus	LNT	0.263699184	0.461624186	1	0.464717801	
58	Enterococcus	Three_FL	0.245314535	0.494518824	1	0.497762838	
59	Enterococcus	LDFT	0.290951954	0.414739247	1	0.414739247	
60	Enterococcus	LSTa	0.365099808	0.299559056	1	0.299559056	
61	Enterococcus	LSTb	-0.458808587	0.182281627	1	0.183435711	
62	Enterococcus	LSTc	-0.116836064	0.74788145	1	0.74788145	
63	Enterococcus	Methyl	0.576013592	0.081385614	1	0.081385614	
64	Staphylococcus	Capric_acid	-0.143393131	0.692697952	1	0.722587889	
65	Staphylococcus	Butyric_acid	-0.141124823	0.697364672	1	0.721006475	
66	Staphylococcus	L_Leucine	0.258317502	0.471150747	1	0.485787537	
67	Staphylococcus	L_Valine	0.229514251	0.52355921	1	0.539860996	
68	Staphylococcus	L_Isoleucine	0.357601578	0.310338624	1	0.319458863	
69	Staphylococcus	Propionic_acid	0.370064808	0.292532562	1	0.292532562	
70	Staphylococcus	Propylene_glycol	0.308347957	0.386044635	1	0.391957266	
71	Staphylococcus	Isopropyl_alcohol	0.150096167	0.678962204	1	0.680033017	
72	Staphylococcus	Valeric_acid	-0.24834139	0.489035535	1	0.519888632	
73	Staphylococcus	L_Lactic_acid	-0.09674763	0.790334388	1	0.790334388	
74	Staphylococcus	L_Alanine	-0.008916004	0.980497792	1	0.980497792	
75	Staphylococcus	L_Lysine	0.056787422	0.876177333	1	0.913762031	
76	Staphylococcus	Acetic_acid	0.025347488	0.944587982	1	0.944587982	
77	Staphylococcus	Aminopentanoic_acid	0.590238835	0.072440138	1	0.073130841	
78	Staphylococcus	L_Glutamic_acid	-0.359568337	0.307491694	1	0.307491694	
79	Staphylococcus	Succinic_acid	-0.101958804	0.779269271	1	0.779269271	
