Sample	Capric acid	Butyric acid	L-Leucine	L-Valine	L-Isoleucine 	Propionic acid	Propylene glycol	Isopropyl alcohol	Valeric acid	L-Lactic acid	L-Alanine	L-Lysine	Acetic acid	5-Aminopentanoic acid	L-Glutamic acid	Succinic acid	beta-Alanine	Methylamine	L-Aspartic acid	Sarcosine	Trimethylamine	L-Asparagine	Malonic acid	Choline	Betaine	Taurine	Phenylacetic acid	Glycine	Glycerol	D-Fructose	L-Proline	Lactulose	D-Glucose	Galactose	Sucrose	Uracil	Fumaric acid	Deoxyuridine	3,4-Dihydroxybenzeneacetic acid	L-Tyrosine	Gallic acid	L-Histidine	p-Cresol	L-Phenylalanine	L-Tryptophan	Xanthine	Hypoxanthine	Formic acid	Nicotinic acid	2'FL	3SL	6SL	LDNDFH	LNFP1	LNFP3	LNnT	LNT	3FL	LDFT	LSTa	LSTb	LSTc	Methyl	Sum H1'
G02-7	7.2905	5.4094	16.8284	13.0127	4.7582	2.847	7.6469	43.782	7.1373	29.9456	12.5365	22.5948	271.3052	1.7157	21.988	24.0375	2.2637	0.579	7.8211	5.1644	0.8994	2.4928	1.8926	1.7024	16.6997	4.2198	68.4829	121.3182	275.7852	33.8861	9.7796	3.4951	95.3344	1.0091	0.3632	0.2582	0.0866	0.0468	-0.0744	1.4642	0.3049	0.8304	0.3064	2.332	0.3204	0.0565	0.0125	0.4431	-0.0135	8.1162	23.7737	57.5585	6.2593	13.268	5.3127	4.3143	18.7359	0.8937	0.3911	7.4066	12.2303	13.2884	422.8393	2.8237
G09-7	7.7559	10.2599	17.6662	15.2069	5.7528	4.9037	17.0465	60.2778	10.3114	19.5702	9.2738	24.8643	104.904	1.9078	14.2585	5.6992	2.8886	0.7653	8.2573	6.863	0.7418	2.7326	1.6713	1.7295	6.7423	5.4318	56.7753	106.1849	243.639	43.3612	10.25	3.6613	117.2042	0.6006	0.3303	0.146	-0.0019	-0.0366	-0.0105	2.4502	0.2566	0.7809	0.3463	1.6773	0.3009	0.0492	0.1006	1.7291	0.0531	2.7774	23.3067	10.6702	14.9778	15.874	9.2345	5.2424	34.2242	2.0402	1.1922	18.5587	23.311	14.9097	488.4611	26.7413
G08-7	6.8654	8.1075	20.8959	16.5016	6.7882	3.6479	4.1788	23.9152	8.3196	32.7828	16.0164	26.2348	89.522	1.5267	32.4136	20.4798	3.1536	0.7766	10.7755	5.2562	0.9504	4.2048	2.2704	2.4988	5.4677	6.48	36.4115	86.6678	181.6523	16.9217	13.2261	3.5486	79.719	4.7769	0.2551	0.1175	0.0004	-0.0164	0.0022	3.6961	0.2564	1.5565	0.3465	3.2918	0.5396	0.0783	0.0336	6.7465	0.0275	3.8097	17.6038	10.6273	3.0022	10.9606	2.329	6.7522	9.6736	0.5633	0.5654	7.3729	10.1533	9.6972	188.9688	11.2772
G20-7	5.7778	5.09	13.7075	12.0116	4.8297	3.4601	5.2375	14.1892	7.3663	24.4328	7.4295	14.9029	10.4458	1.4924	7.2697	3.5412	1.8312	0.689	3.9714	3.0735	0.5875	1.0232	1.3807	1.5366	10.1272	8.2382	23.9245	49.1717	114.2924	10.6977	10.3169	3.7948	94.3807	5.4518	0.4868	0.4352	0.046	0.0003	0.0081	0.7666	0.2229	0.5474	0.5288	1.4858	0.1682	0.054	0.0602	0.4335	0.0553	0.6222	27.6757	11.3989	9.3922	13.6326	8.2792	8.1932	18.953	0.6457	0.4439	11.4777	12.2221	17.2094	553.4993	6.358
G18-7	6.5599	6.226	16.4729	13.399	4.6205	2.7584	7.0488	46.7612	7.0761	25.8906	10.1847	22.8229	51.8001	1.6558	17.884	4.8289	2.37	0.7193	9.5083	6.9728	0.6754	3.3203	1.7011	1.2936	10.057	7.223	84.3961	103.6187	264.073	32.0699	21.2217	4.5248	223.4296	4.7399	0.3834	0.0205	0.0191	-0.0295	-0.043	4.1171	0.2216	0.8554	0.4183	1.8041	0.4107	0.0821	-0.0449	1.0479	0.0459	2.8308	39.1661	14.6421	8.0378	23.0673	11.7741	7.6519	32.5153	0.7787	0.5705	13.5239	18.4073	16.9571	976.7742	11.2121
K14-7	18.1833	7.7526	12.1028	11.4077	4.2526	4.5642	9.3119	20.1949	11.9217	12.2389	6.84	12.6612	14.3616	2.6377	5.9246	3.4117	30.8774	1.9057	4.949	3.2642	1.3101	1.8938	65.152	7.8568	9.8181	9.6353	25.7639	62.7854	138.5201	9.8708	6.6851	3.1459	36.867	6.8575	0.3591	0.3075	0.0294	0.1365	-0.1575	0.7956	0.1817	0.3649	0.6239	0.7124	0.1203	0.0653	-0.0659	0.8901	-0.1377	3.4741	31.4212	17.7383	9.7889	19.6096	11.5801	7.682	27.2254	0.6437	0.4034	13.529	17.0418	16.1499	872.9018	11.9138
K06-7	20.5719	8.0627	22.5162	16.2436	6.7784	1.9078	11.3459	7.9786	42.0762	98.9448	18.4498	16.3902	198.3732	2.7282	28.3085	16.7125	2.9316	0.7543	7.3124	2.3374	1.3407	2.3775	3.0148	2.2696	5.4568	7.3351	12.6303	54.6555	110.4901	16.2886	4.847	1.9231	7.2362	1.9042	0.3742	1.0758	0.1105	0.1918	0.1144	2.4007	0.2125	1.1146	0.6445	3.0169	0.2734	0.0605	0.068	11.2698	-0.0262	6.4712	25.9923	26.9577	8.7526	22.7214	11.9156	5.0861	29.3602	1.1937	0.5864	13.6659	18.5781	15.4265	934.2754	15.8499
K05-7	11.9744	10.1029	66.8784	48.2803	21.6056	3.3475	2.8397	5.0112	13.3077	18.3019	30.2824	46.4192	41.9267	2.7782	63.3362	121.6419	1.9334	0.9111	3.8594	2.7395	3.0808	5.0279	3.4037	2.7777	6.3529	5.6846	12.8525	17.5649	24.1815	5.1587	5.3037	1.6472	4.7871	0.493	0.8102	0.3334	1.0105	0.0207	0.0949	6.7448	0.3279	3.2274	0.9836	8.7834	0.2072	0.0974	0.0868	0.3375	0.1127	4.4254	21.904	15.8381	14.5342	7.5703	9.6203	4.6683	15.7838	1.27	-0.4463	1.824	9.7334	16.0519	520.879	12.1251
K03-7	8.9308	4.9107	28.412	22.4766	9.7136	5.4249	59.8313	16.8736	17.6996	194.2641	28.887	22.8103	337.7782	3.6893	25.3198	21.367	2.8596	0.9601	6.5714	2.5148	1.0116	1.8517	2.4206	6.3425	10.454	10.9938	35.7467	42.2656	60.8048	33.9806	8.7705	2.9331	15.9981	4.5298	0.2154	0.5844	0.1222	0.2252	0.0633	2.7667	0.1748	0.9537	0.4872	3.3823	0.3369	0.052	0.2152	30.5033	-0.0032	78.9748	27.073	8.5917	78.5416	41.0762	18.4759	7.1848	80.792	15.2624	5.8973	59.2694	18.1262	65.1056	1199.7107	103.5572
K04-7	14.4175	5.7083	24.1434	18.7543	6.5079	2.4069	59.4032	15.281	37.7622	196.7453	31.9273	20.4736	254.9589	3.8993	30.3532	36.2338	2.1606	0.7828	3.7938	2.0264	1.2357	2.0476	2.5378	6.7861	7.1906	12.9214	29.6108	81.7143	141.3325	31.2015	8.2049	2.2805	12.3635	3.2616	0.4444	1.4031	0.1108	0.1959	0.0979	2.0144	0.1494	0.4609	0.4577	2.9036	0.2025	0.0325	0.1445	19.9268	0.0529	58.2032	32.2884	12.4496	71.6469	31.9016	34.7221	4.0245	132.5971	47.4907	2.8823	86.9892	21.2198	38.9106	1704.2083	131.4815
