Hospital	Type_of_variable	Variable	Transformation_chosen_by_bestNormalize
Graz	Genus	Enterococcus	orderNorm
Graz	Genus	Lactobacillus	orderNorm
Graz	Genus	Staphylococcus	orderNorm
Graz	Metabolite	Capric_acid	yeojohnson
Graz	Metabolite	Butyric_acid	center_scale
Graz	Metabolite	L_Leucine	center_scale
Graz	Metabolite	L_Valine	boxcox
Graz	Metabolite	L_Isoleucine	arcsinh_x
Graz	Metabolite	Propionic_acid	boxcox
Graz	Metabolite	Propylene_glycol	orderNorm
Graz	Metabolite	Isopropyl_alcohol	orderNorm
Graz	Metabolite	Valeric_acid	boxcox
Graz	Metabolite	L_Lactic_acid	arcsinh_x
Graz	Metabolite	L_Alanine	arcsinh_x
Graz	Metabolite	L_Lysine	boxcox
Graz	Metabolite	Acetic_acid	boxcox
Graz	Metabolite	Aminopentanoic_acid	arcsinh_x
Graz	Metabolite	L_Glutamic_acid	arcsinh_x
Graz	Metabolite	Succinic_acid	orderNorm
Graz	Metabolite	beta_Alanine	arcsinh_x
Graz	Metabolite	Methylamine	arcsinh_x
Graz	Metabolite	L_Aspartic_acid	orderNorm
Graz	Metabolite	Sarcosine	arcsinh_x
Graz	Metabolite	Trimethylamine	boxcox
Graz	Metabolite	L_Asparagine	boxcox
Graz	Metabolite	Malonic_acid	boxcox
Graz	Metabolite	Choline	arcsinh_x
Graz	Metabolite	Betaine	orderNorm
Graz	Metabolite	Taurine	boxcox
Graz	Metabolite	Phenylacetic_acid	center_scale
Graz	Metabolite	Glycine	arcsinh_x
Graz	Metabolite	Glycerol	arcsinh_x
Graz	Metabolite	D_Fructose	boxcox
Graz	Metabolite	L_Proline	arcsinh_x
Graz	Metabolite	Lactulose	boxcox
Graz	Metabolite	D_Glucose	center_scale
Graz	Metabolite	Galactose	orderNorm
Graz	Metabolite	Sucrose	orderNorm
Graz	Metabolite	Uracil	arcsinh_x
Graz	Metabolite	Fumaric_acid	arcsinh_x
Graz	Metabolite	Deoxyuridine	arcsinh_x
Graz	Metabolite	Dihydroxybenzeneacetic_acid	orderNorm
Graz	Metabolite	L_Tyrosine	center_scale
Graz	Metabolite	Gallic_acid	arcsinh_x
