Features	K14-7	K13-7	K15-7	K16-7	K11-7	K17-7	K18-7	K12-7	K10-7	K09-7	K08-7	K07-7	K06-7	K05-7	K03-7	K04-7	K02-7	K01-7	G04-7	G02-7	G01-7	G03-7	G05-7	G12-7	G11-7	G14-7	G15-7	G17-7	G13-7	G09-7	G10-7	G08-7	G20-7	G07-7	G18-7	G06-7	L01-7	L02-7	L03-7	L04-7	L05-7	L06-7	L07-7	L08-7	L09-7	L10-7	L11-7	L12-7	L13-7	L14-7	L15-7	L16-7	L17-7	L18-7
Staphylococcus	-3.226722526	-1.493099707	-2.783713073	-2.601317115	0	-3.412050225	2.212079986	0	0.238736838	2.120162741	-5.975494639	-1.185739265	0.841362971	-3.053714425	-0.856697352	-1.584157715	-3.087333961	1.453525179	0.981683257	2.731666956	3.478920829	0.882260866	-1.309863612	0.585916848	1.434327142	1.291701692	1.614395222	1.386317866	0.096035158	1.515222421	1.407672975	0.296396379	-2.615118358	0.707045946	2.138682901	0.694549706	-3.768165416	1.116780743	1.543624983	0.504773702	0.240620123	1.72164548	-1.630269844	-0.104224309	0.820115845	1.39822929	2.575147234	1.862422652	-0.220005133	0.414744365	-0.417054157	0.665129848	0	-1.647157312
Enterococcus	-4.897189416	-4.250513684	0	0	-5.139813089	-5.193321415	0.271735356	0	0	-1.008494895	0	0	0	-4.553719603	0	-6.014112518	0	-3.458126495	1.269033066	0.844079445	-5.100473254	1.426461257	0.711013406	1.452971879	1.34569963	1.108345658	1.343074302	1.365865636	1.462646907	1.344473011	1.354779619	1.182585339	-0.311758231	0.318870325	1.206440187	1.420558127	0.631330936	1.410148079	1.103063784	1.458821441	1.450273351	1.32473816	1.502891635	1.482833242	1.438259854	1.379480601	0.975000286	1.209428508	0.657918691	0.798147689	1.37253987	1.451370128	-0.653933208	1.506576406
Lactobacillus	-1.529826125	-0.38736997	-0.507015882	-0.172954728	0.903690344	-0.84944374	1.343145986	3.551189577	1.499007427	-0.054710436	0.264513983	1.071410406	1.642347246	2.931895382	-0.536111782	2.721418947	-0.492182837	0.198881117	-1.919789596	-0.828180328	-0.835542305	-0.607401367	-1.082427744	-1.50181135	0.627958768	0.392444701	-1.76655975	0.045895842	0.109984529	0.142530427	0.440715526	-2.969576616	4.116282907	-1.429545665	-1.180489984	0.67905276	0	0	0	0	-2.264305948	0	0	0	0	0	0	1.074468592	0	-2.841588312	0	0	0	0
Streptococcus	-1.298832523	-0.110223967	-0.414323021	0	0	-1.214289236	0	0.568106062	1.700671465	-0.991441643	0	2.166889985	3.912184573	0	0	1.830092491	0	-1.72181451	-3.44557159	-0.439123584	0	-1.4709794	-0.205050407	0	0	0	0	0	0	0	0	3.024425637	0	0	0	0	-1.306634053	-0.667138032	4.089140046	0	-0.725559338	0	-0.184591955	-0.86755081	-0.454320496	-2.310895864	0.109625754	1.486424376	0	-1.059219962	0	0	0	0
Bifidobacterium	1.163567884	1.097939496	1.148604527	1.07508472	1.113115516	1.14717715	0.215015817	0.433600352	1.08864659	0.777984349	1.11121778	1.13264128	0.890334071	0.906059058	1.186401263	0.949940047	1.103668033	0.883184345	0	-8.475079828	0	0	-7.36860996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.580492491	0
Geobacillus	1.078278557	1.84423092	0.637093697	-0.803174246	1.478236722	1.374729201	-0.341181361	1.509325063	-1.944746912	-1.923155644	1.743481604	-0.885690448	-1.837246527	-2.044373544	-1.994686885	-2.039646773	1.930166726	2.218359848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unknown_Bacteria	0	0	0	0	0	0	-1.44906004	0	-0.151356956	0	1.328810357	-1.357820327	0	0	0.738252538	0	0	1.866831192	-1.334191708	1.713640917	-0.259184597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.087234414	0	0.104060218	0	0	-0.845797108	0	0	0	0	0	0	0	0	0	0	-0.266950073
Corynebacterium 1	-2.094754548	0	0	0	0	-1.772701306	-0.086803963	0	0	0	-2.458312656	0	0	0	0	0	-0.601625289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.042398877	0	0	0	0	1.551803985	0	0	0	0	0	0.843025677	-0.967286355	0.557133918	3.245296931	1.826622484	0	0	0	0	0	0
unknown_Lactobacillales	0	0	0	0	0	0	-3.566655369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.326119717	-0.539476768	0	0	0	0	0	0	0	0	2.784680066	0	0	0	0	0	-0.699210765	3.673341605	0.249768649	0.333288182	0	0.352331603	0	-0.522172615	0	-2.246423323	1.50664845	0	0	0	0	0	0
Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.12782649	0	0	-3.936663026	-4.73628712	3.981191979	0	0	0	0	0	0	0	0	2.887435116	-3.02960666	-1.895202596	0	0	3.52179818	0	0	0	0	0	0	0	0	0	0	0	0	3.689392795	0	0	3.645767823	0
Escherichia-Shigella	0	0	0	3.521226085	0	0	0	0	-3.883317974	0	0	0	0	-0.423313646	0	0	0	0	0	0	-2.580673642	0	0	0	0	0	0	0	0	0	0	0	-1.845470329	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.582255644	0	0	0	3.559253398	0	3.234551753	0
unknown_Enterobacteriaceae	0	0	0	-3.11676529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.913556475	0	0	1.379344812	0	0	0	0	0	0	0	0	0	0	-3.342938729	1.706944672	1.529595783	0	0	-0.069737724	0
Elizabethkingia	0	0	0	0	0	0	0	-1.007095142	0	0	0	-0.077733386	0	0	-0.245547254	0	0	0	0	0	0	0.635418999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346038316	0	0	0.348918466	0	0	0	0	0	0	0	0	0	0	0	0	0
