Features,K14-7,K13-7,K15-7,K16-7,K11-7,K17-7,K18-7,K12-7,K10-7,K09-7,K08-7,K07-7,K06-7,K05-7,K03-7,K04-7,K02-7,K01-7,G04-7,G02-7,G01-7,G03-7,G05-7,G12-7,G11-7,G14-7,G15-7,G17-7,G13-7,G09-7,G10-7,G08-7,G20-7,G07-7,G18-7,G06-7,L01-7,L02-7,L03-7,L04-7,L05-7,L06-7,L07-7,L08-7,L09-7,L10-7,L11-7,L12-7,L13-7,L14-7,L15-7,L16-7,L17-7,L18-7
Enterococcus,103,149,0,0,22,74,8914,0,0,2846,0,0,0,45,0,23,0,357,32296,24721,107,54228,21466,58282,49551,27570,19285,12519,26498,17336,18507,15481,5190,6063,15014,23923,4691,28502,9495,15446,24653,16360,33386,35428,31380,27060,14444,17410,9531,4946,10867,14720,1228,28175
Bifidobacterium,59761,42405,49243,12323,15469,56794,11399,18723,41004,22989,81571,52092,26382,14315,55725,32931,46386,37111,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0
Staphylococcus,76,326,99,32,0,61,8615,0,1798,9026,7,526,2577,28,741,268,72,6734,3364,22664,79044,4369,395,3400,7517,4598,3512,1774,938,2855,2709,886,72,1241,5295,1607,8,2951,2048,826,1021,3378,202,1006,2348,3828,9934,4644,550,468,252,931,0,167
Lactobacillus,184,437,428,161,571,351,1603,19251,2813,455,1592,2230,2547,4940,453,8812,428,852,82,286,469,437,220,187,1489,830,53,206,422,321,457,15,26779,65,85,702,0,0,0,0,37,0,0,0,0,0,0,937,0,8,0,0,0,0
Veillonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15,5,24731,0,0,0,0,0,0,0,0,3728,15,29,0,0,3697,0,0,0,0,0,0,0,0,0,0,0,0,3901,0,0,3961,0
Geobacillus,2418,3941,1301,83,982,3142,288,2419,87,68,6764,305,76,33,102,73,4671,6215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8311,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,59,11195,551,0,0,0,0
Enterobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11955,0,0,1096,0,0,0,0,0,0,0,0,0,0,67,521,0,0,0,3572,0
Streptococcus,39,97,79,0,0,41,0,164,579,30,0,1122,4147,0,0,608,0,21,3,71,0,31,89,0,0,0,0,0,0,0,0,1012,0,0,0,0,7,37,1949,0,29,0,64,35,49,7,63,238,0,8,0,0,0,0
Clostridium sensu stricto 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia-Shigella,0,0,0,1502,0,0,0,0,3,0,0,0,0,40,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1383,0,857,0
