sample	taxonomy
1	Bifidobacterium_infantis
2	Bifidobacterium_infantis
3	Bifidobacterium_infantis
4	Bifidobacterium_infantis
5	Bifidobacterium_infantis
6	Bifidobacterium_infantis
7	Bifidobacterium_infantis
8	Bifidobacterium_infantis
9	Bifidobacterium_infantis
10	classification_failed
11	classification_failed
12	classification_failed
13	classification_failed
14	classification_failed
15	classification_failed
16	classification_failed
17	classification_failed
18	contig
19	contig
20	contig
21	contig
22	contig
23	contig
24	contig
25	contig
26	contig
27	contig
28	contig
29	Corynebacterium_aurimucosum
30	Enterococcus_faecalis
31	Enterococcus_faecalis
32	Enterococcus_faecium
33	Enterococcus_faecium
34	Enterococcus_faecium
35	Enterococcus_faecium
36	Enterococcus_faecium
37	Enterococcus_faecium
38	Enterococcus_faecium
39	Enterococcus_faecium
40	Enterococcus_faecium
41	Enterococcus_faecium
42	Enterococcus_faecium
43	Enterococcus_faecium
44	Enterococcus_faecium
45	Enterococcus_faecium
46	Enterococcus_faecium
47	Enterococcus_faecium
48	Enterococcus_faecium
49	Enterococcus_faecium
50	Enterococcus_faecium
51	Enterococcus_faecium
52	Enterococcus_faecium
53	Enterococcus_faecium
54	Enterococcus_faecium
55	Enterococcus_faecium
56	Escherichia_coli
57	Escherichia_coli
58	Escherichia_coli
59	Escherichia_flexneri
60	Escherichia_flexneri
61	Escherichia coli
62	Geobacillus_staerothermophilus
63	Geobacillus_stearothermophilus
64	Geobacillus_stearothermophilus
65	Geobacillus_stearothermophilus
66	Geobacillus_stearothermophilus
67	Geobacillus_stearothermophilus
68	Klebsiella_oxytoca
69	Lactobacillus
70	Lactobacillus_rhamnosus
71	Lactobacillus_rhamnosus
72	Lactobacillus_rhamnosus
73	Lactobacillus_rhamnosus
74	Lactobacillus_rhamnosus
75	Lactobacillus_rhamnosus
76	Lactobacillus_rhamnosus
77	Lactobacillus_rhamnosus
78	Lactobacillus_rhamnosus
79	Lactobacillus_rhamnosus
80	Lactobacillus acidophilus
81	Lactobacillus acidophilus
82	Lactobacillus acidophilus
83	Lactobacillus acidophilus
84	Ochrobactrum_intermedium
85	Rothia_sp902373285
86	Serratia_marcescens_(pot._new_taxa_TYPR)
87	Staphylococcus
88	Staphylococcus
89	Staphylococcus
90	Staphylococcus_epidermidis
91	Staphylococcus_epidermidis
92	Staphylococcus_epidermidis
93	Staphylococcus_epidermidis
94	Staphylococcus_epidermidis
95	Staphylococcus_haemolyticus
96	Staphylococcus_haemolyticus
97	Veillonella_parvula
98	Veillonella_rogosae
