
Bin Id	Marker lineage	UID	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	iRep	raw iRep	r^2	coverage	% window passing filter	fragments/Mpb	GC bias	GC r^2	MaGe-Order#
															unfiltered index of replication	raw index of replication (no GC bias correction)							
L11-7.contigs.003	k__Bacteria	(UID203)	5449	102	57	0	62	32	8	0	0	100	44.58	3.57	2.685272494	3.068362798	0.74841589	69.48086714	99.1	161	-34.70084693	0.302607441	#3CXJRG
K17-7.contigs.001	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	476	0	0	0	0	100	0	0	1.703339471	1.898247119	0.996232967	1429.78033	100	24	-1962.583211	0.390070527	
K16-7.contigs.002	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	466	10	0	0	0	100	1.98	10	1.851267191	1.92003252	0.971540341	37.01223265	99.19	71	-0.459977055	0.020078149	
K15-7.contigs.002	k__Bacteria	(UID203)	5449	104	58	0	52	49	3	0	0	100	52.13	1.72	2.184507699	2.866281246	0.944544125	12.45531581	99.89	145	23.70855548	0.33199727	
K15-7.contigs.001	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	476	0	0	0	0	100	0	0	1.582120312	1.596093701	0.996326854	1283.433037	100	24	-23.74461862	0.030008145	
K14-7.contigs.001	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	476	0	0	0	0	100	0	0	1.716929183	1.730944086	0.997720499	1295.627936	100	25	6.964485246	0.011869442	
K13-7.contigs.001	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	476	0	0	0	0	100	0	0	1.744189901	1.772022016	0.994356933	1061.19521	100	26	28.5950487	0.034357104	
K11-7.contigs.001	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	476	0	0	0	0	100	0	0	1.663403203	1.78358527	0.991295855	1005.488063	100	22	-799.4888068	0.293720576	
K08-7.contigs.001	f__Bifidobacteriaceae	(UID1462)	65	476	217	0	476	0	0	0	0	100	0	0	1.970543374	1.987345291	0.992368765	1032.434267	100	27	-2.745536644	0.006157301	
G14-7.contigs.002	f__Enterobacteriaceae	(UID5121)	138	1159	336	0	1148	11	0	0	0	100	0.92	0	2.689417068	2.764627686	0.998866721	76.14028163	99.92	22	-2.711867197	0.03525469	
K16-7.contigs.001	f__Enterobacteriaceae	(UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.35	0	1.946335339	2.065254075	0.998068595	301.1512542	99.78	32	78.22093582	0.121593041	#VLENC8
L09-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	1	474	0	0	0	0	99.63	0	0	1.754557639	2.399007231	0.98280266	1016.574731	100	53	4435.883195	0.450659401	
L08-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	1	472	2	0	0	0	99.63	0.11	0	1.998246056	3.007018451	0.98273026	1552.941462	99.99	53	7187.636506	0.414198886	
L02-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	1	474	0	0	0	0	99.63	0	0	4.372824028	8.058489738	0.981135341	960.6575804	99.52	55	4481.046699	0.307742384	
G17-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	1	363	108	3	0	0	99.63	26.34	0.85	3.193574999	3.299960553	0.879490806	1565.401762	86.48	189	-22.40865218	0.008847597	
G13-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	1	474	0	0	0	0	99.63	0	0	2.109994081	2.893210948	0.989711653	704.3192185	99.76	58	1810.521728	0.294133265	
G03-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	1	474	0	0	0	0	99.63	0	0	2.44374069	4.205674688	0.985545618	738.6894506	99.67	62	3807.119447	0.401597628	
G14-7.contigs.003	g__Lactobacillus	(UID436)	31	586	184	1	583	2	0	0	0	99.46	0.18	0	1.383874084	1.391053387	0.975403904	29.10005978	99.38	24	3.97107219	0.090837199	
G11-7.contigs.002	g__Lactobacillus	(UID436)	31	586	184	1	585	0	0	0	0	99.46	0	0	1.348187555	1.355558236	0.975124791	113.099751	99.2	17	7.593767197	0.059351858	
L05-7.contigs.003	o__Actinomycetales	(UID1530)	622	254	150	1	243	10	0	0	0	99.33	4.22	0	2.099184807	2.103559533	0.998417356	140.9038516	99.36	24	0.000424844	0.000108423	
L10-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	4	471	0	0	0	0	99.25	0	0	1.728792748	1.870491353	0.973034645	887.0508512	100	52	469.42835	0.130567425	BE4Z1R
L18-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	4	464	7	0	0	0	98.88	1.25	28.57	8.221931731	9.055781446	0.938404922	32.53400618	97.52	169	0.041445584	0.001960584	
G11-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	7	468	0	0	0	0	98.88	0	0	6.174968902	10.8850357	0.991607365	1243.587399	99.37	50	6094.916259	0.279129956	
G05-7.contigs.001	o__Selenomonadales	(UID1024)	64	334	167	5	328	1	0	0	0	98.8	0.6	100	2.536543261	2.940790577	0.99219509	844.9728962	99.69	24	1186.831181	0.2303244	
K08-7.contigs.002	f__Bacillaceae	(UID830)	27	604	178	4	599	1	0	0	0	98.74	0.07	100	1.410227616	1.434340844	0.9806052	15.95387747	99.81	89	2.745953714	0.12718615	
G13-7.contigs.002	k__Bacteria	(UID203)	5449	104	58	1	58	27	18	0	0	98.28	25.3	22.22	1.526389709	1.56799455	0.955133423	25.4782567	98.82	97	-0.101552796	0.008418663	
G14-7.contigs.001	o__Lactobacillales	(UID544)	293	475	267	10	465	0	0	0	0	98.13	0	0	2.736848009	3.181986377	0.983576842	417.6078242	99.39	55	524.9089283	0.183136101	
K14-7.contigs.002	f__Bacillaceae	(UID830)	27	604	178	10	588	6	0	0	0	97.94	1.76	66.67	1.410050272	1.422329738	0.99124223	7.972829852	100	160	0.174207233	0.029925802	
K13-7.contigs.002	f__Bacillaceae	(UID830)	27	604	178	7	595	2	0	0	0	97.59	0.28	50	1.42876708	1.47316325	0.98938986	12.67780757	99.97	109	0.514181618	0.044973323	
