database	center	child	timepoint	bin	bin_name	gene	diff	type
resfinder	G	G03	3	1	G03_3_bin_001	none	1	none
resfinder	G	G03	3	2	G03_3_bin_002	none	1	none
resfinder	G	G03	7	1	G03_7_bin_001	none	1	none
resfinder	G	G03	7	2	G03_7_bin_002	none	1	none
resfinder	G	G03	7	contig	G03_7_contig	aadD		contig
resfinder	G	G03	7	contig	G03_7_contig	erm(T)		contig
resfinder	G	G05	3	1	G05_3_bin_001	none	1	none
resfinder	G	G05	3	2	G05_3_bin_002	none	1	none
resfinder	G	G05	7	1	G05_7_bin_001	none	1	none
resfinder	G	G05	7	2	G05_7_bin_002	none	1	none
resfinder	G	G05	7	3	G05_7_bin_003	none	1	none
resfinder	G	G11	3	1	G11_3_bin_001	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G11	3	2	G11_3_bin_002	none	1	none
resfinder	G	G11	7	1	G11_7_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G11	7	1	G11_7_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G11	7	1	G11_7_bin_001	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G11	7	1	G11_7_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G11	7	2	G11_7_bin_002	none	1	none
resfinder	G	G11	7	3	G11_7_bin_003	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G11	7	3	G11_7_bin_003	aph(3')-III	Amikacin	bin
resfinder	G	G11	7	3	G11_7_bin_003	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G11	7	3	G11_7_bin_003	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G11	7	3	G11_7_bin_003	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	bin
resfinder	G	G11	7	3	G11_7_bin_003	mph(C)	Erythromycin;Spiramycin;Telithromycin	bin
resfinder	G	G11	7	3	G11_7_bin_003	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	bin
resfinder	G	G12	7	contig	G12_7_contig	mph(C)		contig
resfinder	G	G12	7	contig	G12_7_contig	msr(C)		contig
resfinder	G	G12	7	contig	G12_7_contig	dfrG		contig
resfinder	G	G12	7	contig	G12_7_contig	tet(L)		contig
resfinder	G	G12	7	contig	G12_7_contig	fosD		contig
resfinder	G	G12	7	contig	G12_7_contig	aac(6')-Ii		contig
resfinder	G	G12	7	contig	G12_7_contig	erm(T)		contig
resfinder	G	G12	3	1	G12_3_bin_001	aph(3')-III	Amikacin	bin
resfinder	G	G12	3	1	G12_3_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G12	3	1	G12_3_bin_001	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G12	3	1	G12_3_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G12	3	1	G12_3_bin_001	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G12	3	1	G12_3_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G12	3	2	G12_3_bin_002	none	1	none
resfinder	G	G12	7	contig	G12-7_contig	tet(L)		contig
resfinder	G	G12	7	contig	G12-7_contig	fosD		contig
resfinder	G	G12	7	contig	G12-7_contig	aac(6')-Ii		contig
resfinder	G	G12	7	contig	G12-7_contig	erm(T)		contig
resfinder	G	G13	3	1	G13_3_bin_001	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G13	3	1	G13_3_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G13	3	1	G13_3_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G13	3	1	G13_3_bin_001	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G13	3	1	G13_3_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G13	3	2	G13_3_bin_002	tet(41)	Doxycycline;Tetracycline	bin
resfinder	G	G13	3	contig	G13_3_contig	aac(6')-Ic		contig
resfinder	G	G13	3	contig	G13-3_contig	aac(6')-Ic		contig
resfinder	G	G13	7	1	G13_7_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G13	7	1	G13_7_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G13	7	1	G13_7_bin_001	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G13	7	1	G13_7_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G13	7	2	G13_7_bin_002	aph(3')-III	Amikacin	bin
resfinder	G	G13	7	2	G13_7_bin_002	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G14	3	1	G14_3_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G14	3	1	G14_3_bin_001	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G14	3	1	G14_3_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G14	3	1	G14_3_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G14	3	1	G14_3_bin_001	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G14	3	2	G14_3_bin_002	none	1	none
resfinder	G	G14	7	1	G14_7_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G14	7	1	G14_7_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G14	7	1	G14_7_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G14	7	1	G14_7_bin_001	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G14	7	2	G14_7_bin_002	fosA	Fosfomycin	bin
resfinder	G	G14	7	2	G14_7_bin_002	aph(3')-III	Amikacin	bin
resfinder	G	G14	7	2	G14_7_bin_002	oqxA	Nalidixic_acid;Ciprofloxacin	bin
resfinder	G	G14	7	2	G14_7_bin_002	oqxB	Nalidixic_acid;Ciprofloxacin	bin
resfinder	G	G14	7	2	G14_7_bin_002	erm(T)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G14	7	2	G14_7_bin_002	blaOXY-2-8		bin
resfinder	G	G14	7	3	G14_7_bin_003	none	1	none
resfinder	G	G14	7	4	G14_7_bin_004	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G14	7	4	G14_7_bin_004	mph(C)	Erythromycin;Spiramycin;Telithromycin	bin
resfinder	G	G15	7	1	G15_7_bin_001	dfrG	Trimethoprim	bin
resfinder	G	G15	7	2	G15_7_bin_002	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	G	G15	7	2	G15_7_bin_002	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G15	7	2	G15_7_bin_002	msr(C)	Erythromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G15	7	3	G15_7_bin_003	aadD	Amikacin;Tobramycin	bin
resfinder	G	G15	7	3	G15_7_bin_003	tet(L)	Doxycycline;Tetracycline	bin
resfinder	G	G15	7	4	G15_7_bin_004	mph(C)	Erythromycin;Spiramycin;Telithromycin	bin
resfinder	G	G15	7	4	G15_7_bin_004	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	bin
resfinder	G	G15	7	4	G15_7_bin_004	aph(3')-III	Amikacin	bin
resfinder	G	G15	7	4	G15_7_bin_004	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	G	G15	7	5	G15_7_bin_005	none	1	none
resfinder	G	G15	7	contig	G15_7_contig	erm(T)		contig
resfinder	G	G15	7	contig	G15_7_contig	fosB		contig
resfinder	G	G15	7	contig	G15_7_contig	fosD		contig
resfinder	G	G15	7	contig	G15-7_contig	erm(T)		contig
