database	center	child	timepoint	bin	bin_name	gene	count	type
HMO	G	G03	3	1	G03_3_bin_001	none	1	none
HMO	G	G03	3	2	G03_3_bin_002	none	1	none
HMO	G	G03	7	1	G03_7_bin_001	none	1	none
HMO	G	G03	7	2	G03_7_bin_002	none	1	none
HMO	G	G05	3	1	G05_3_bin_001	none	1	none
HMO	G	G05	3	2	G05_3_bin_002	none	1	none
HMO	G	G05	7	1	G05_7_bin_001	none	1	none
HMO	G	G05	7	2	G05_7_bin_002	none	1	none
HMO	G	G05	7	3	G05_7_bin_003	none	1	none
HMO	G	G11	3	1	G11_3_bin_001	none	1	none
HMO	G	G11	3	2	G11_3_bin_002	none	1	none
HMO	G	G11	7	1	G11_7_bin_001	none	1	none
HMO	G	G11	7	2	G11_7_bin_002	none	1	none
HMO	G	G11	7	3	G11_7_bin_003	none	1	none
HMO	G	G12	3	1	G12_3_bin_001	none	1	none
HMO	G	G12	3	2	G12_3_bin_002	none	1	none
HMO	G	G13	3	1	G13_3_bin_001	none	1	none
HMO	G	G13	3	2	G13_3_bin_002	none	1	none
HMO	G	G13	7	1	G13_7_bin_001	none	1	none
HMO	G	G13	7	2	G13_7_bin_002	none	1	none
HMO	G	G14	3	1	G14_3_bin_001	none	1	none
HMO	G	G14	3	2	G14_3_bin_002	none	1	none
HMO	G	G14	7	1	G14_7_bin_001	none	1	none
HMO	G	G14	7	2	G14_7_bin_002	none	1	none
HMO	G	G14	7	3	G14_7_bin_003	none	1	none
HMO	G	G14	7	4	G14_7_bin_004	none	1	none
HMO	G	G15	7	1	G15_7_bin_001	none	1	none
HMO	G	G15	7	2	G15_7_bin_002	none	1	none
HMO	G	G15	7	3	G15_7_bin_003	none	1	none
HMO	G	G15	7	4	G15_7_bin_004	none	1	none
HMO	G	G15	7	5	G15_7_bin_005	none	1	none
HMO	G	G17	3	1	G17_3_bin_001	none	1	none
HMO	G	G17	3	2	G17_3_bin_002	none	1	none
HMO	G	G17	7	1	G17_7_bin_001	none	1	none
